username,payout,points,total_payout,total_points,total_wus
tkmrq8rmmql0,170.68,4932909,646644.76,2061798194,9943
vmiarc39yres,157.92,9912123,2195049.25,6289758021,45959
tfgjdryn2a11,159.93,4484924,461151.65,1530919164,12562
alzwi0b7lu03,190.22,3702826,515852.48,1125686301,6632
6m5khs4cnqq2,296.0,9184089,612087.52,3113100456,25787
rv8fxr56dolc,32.07,712874,607540.77,1298785240,11726
hkvbmviprr4c,61.17,3571796,176929.81,693079235,3727
5ps4i9lmt3px,129.91,3160916,227961.19,652928210,7766
iwlkj0u7stra,132.03,3256275,322995.72,612724502,8937
hdlpt90ypbnb,216.97,3574679,333848.47,487565880,4682
ddvtsqvzb26g,60.88,3021282,119575.5,484611857,3729
j6zzeyxavupt,54.22,1506173,238187.99,474831311,3961
1r5o02d1nxjl,54.64,3462613,86333.57,401047798,2819
hguh04wdx4py,458.43,15459105,23044.79,453869037,2408
rly2g8kduq2h,182.95,5425070,53514.37,434169333,1990
19lv1u44rnu2,219.02,6761682,41570.44,392194934,2274
9ts44bgacp8g,80.61,3906577,76861.24,452095180,2312
xcrufix45v3f,50.68,1887932,150006.48,374052160,4394
s09l9wtxf7yk,39.96,1032833,36771.04,344232699,2033
hsy6urcpwzj3,28.35,593586,31578.55,338671973,1967
29i1oe6kw2uc,110.65,1054218,423243.96,385400969,6972
wpicku03fo9m,22.78,528242,35925.98,304059476,1977
70vnj3hsb6yb,24.89,517917,32664.38,315052297,2650
3qqyfkf7gl0q,32.23,1040757,29139.11,311502988,1946
3gm4chjkp59d,56.91,499088,279883.08,307832657,2668
lzs3tpytaxft,43.23,1954680,152402.9,329536687,2708
a18de3pcr2kl,38.55,1276204,31408.64,301307477,1737
j9nqho75dg5g,58.41,2364449,131677.37,271464719,3139
u888sz04cbvb,31.34,1032803,30422.1,292701744,2044
tg3ct6093qb7,226.39,7016359,19923.05,298723702,1570
yjo915e8wwtr,22.55,441378,34197.9,289117819,1735
pqgkxo1nicav,42.63,2230795,85394.74,262749423,1573
knoj3mpnbmaj,37.2,2710033,19870.26,257816934,1201
4xyomu3c6s8b,110.45,1049750,184198.11,244665277,2977
epw82116eh17,35.76,963279,202193.08,246838875,4171
4yrn48as3zfb,232.73,7231109,21719.68,255807551,1279
jwsaqj967kkw,241.25,7513567,24443.1,254380285,1263
0a4j39bdapty,171.62,4971127,21612.64,247437892,1031
1n7t8823hjtd,52.45,1392952,240854.75,252100058,47686
ej4tpa0l6ajb,170.99,4945355,20056.85,234050380,1098
8p831icill70,132.77,3290059,20427.81,236743997,1516
k2rdhosk79dl,179.14,5274172,20636.8,234219384,1065
fwtyv5qh8saz,23.95,379932,144701.25,238068694,7345
hqw0ccsu9bd7,48.39,2051182,198211.13,236029039,2056
3m5gunt23oke,70.4,803913,174802.98,235980499,3584
5j7x6meatxyh,196.34,3244905,121834.6,233949197,2837
unw8thvvkxwh,81.07,1119932,225375.85,233978193,1838
xabr0vaq3n5b,200.85,6107657,24595.52,231335456,1014
wo63q8c26knx,104.03,2001150,99804.5,233605845,2435
ydrap2oum6vz,182.84,5420540,21022.73,232086405,951
opo2js9ihp50,65.45,3582046,44703.11,227087484,1971
9wfkok8lxc2w,59.97,559831,221468.3,229419694,1804
rvrmzoqf5a2v,37.53,978291,138117.72,229178927,3327
jwjrrlez77ly,37.9,1292407,228779.47,226246937,4625
dilmhyryigdy,89.26,583115,288718.62,224835770,2446
3tazx5x3aghv,110.44,2281430,154098.71,223306903,1949
v8u5jd7u6k1l,125.95,2981023,36580.2,212105720,1052
7m53cun9kixa,69.32,774849,91211.95,219735892,1412
3mwr1ywhuhm1,61.84,2560424,34185.2,208451729,1861
tvkgjtpm50u1,39.12,1320509,152478.72,209252266,3730
c5ncz8ltfyw2,45.63,2201226,39760.88,205851131,1449
m8kzyglhxnb3,21.79,455355,173435.23,199267856,4916
evqx30ajh07k,140.49,3637590,20443.45,196265214,1229
ev46pllkvy6p,86.87,3329618,168317.2,202801248,6067
w4mik49a2p95,31.17,908876,103412.96,197548280,3760
nlle0d9p5441,45.11,311061,43492.07,191662176,1182
r9tjexfwil9f,29.42,676928,219188.98,202981146,5615
j7hy8vliawb5,41.3,895764,135112.62,192618434,2661
3jyzcm6rhwzq,58.36,527354,190156.66,186113225,1533
bit7n1teax8j,75.42,538723,256389.88,189143475,16285
4h9ym8h2c74g,63.71,640190,153529.05,190993653,2855
u9gwixkz2i6g,73.19,879266,181500.39,182254008,1516
kr51wiiwtg8y,36.47,1061977,134055.46,184860981,26288
es9s2y4nvad7,188.04,5623162,31572.46,174807462,852
e1fa1zkgvbtd,81.61,1137791,65492.23,176552375,1661
6s96k4gk088r,55.76,2052237,35683.86,172112019,1124
9g50650tsr77,33.32,1063027,104103.63,178624312,9165
4kg3k4cncz5a,20.08,240321,129982.8,177762669,5111
0a2b5mgoksd3,64.81,3032126,17287.87,171530879,1129
uwt8mmdrbx83,27.31,338353,180862.3,171413197,1421
x0g9dakcdnxm,11.33,89804,160904.43,179579559,8389
do7ag4xmi1wi,120.45,2730835,17109.5,169975128,762
pchbrephvmul,121.07,663072,223798.33,170200834,1681
422vsz0gq3qe,107.73,2161544,41471.27,169351794,1515
3qvz1zphyks8,161.19,4538132,16532.68,169462209,796
zftdswq8v061,123.86,2885053,41848.33,170453336,2203
5pns0ymqjcws,45.34,1959560,19953.87,168212181,1854
pvqoexz9cmwt,109.22,2227403,33764.13,166839507,1294
to1gi80d39eq,49.48,1373463,105079.08,164663939,1588
i3ptnncjlrcw,96.01,1668127,18901.41,166250313,871
wxcjl2wyknoo,94.81,1619956,58092.41,165181261,1988
shcwt31nb9in,38.66,955111,78759.76,165476125,2022
n4dl2fttehg5,259.61,8099805,11765.35,163188500,1049
0qk8ns33ymjv,38.22,639880,163629.92,165960841,2515
s4d2j2uieezq,125.85,2976337,21771.73,161207367,1896
jl77mnzlqeyu,59.41,548515,158737.76,159064474,2138
4bs4xbxg4a2o,120.08,2713609,19023.52,155567157,889
pfw1w9aj0a2q,11.25,91428,112860.37,155447227,2689
f3btjwpnb68j,40.84,1462369,77172.14,158699999,2433
ri89l5uy968k,86.42,1302786,18056.52,157198631,832
v03igr9oj08b,20.14,241522,115997.06,155102488,1326
rakq8xbblx30,58.68,2590854,17562.75,158720591,770
82gnnzmk4ck5,131.5,3232433,17956.25,154014259,811
pcyzfv5ljc5h,13.08,138210,198976.59,154614315,1964
71tsdlxcz71u,145.35,3853336,15564.02,149501258,847
t35yivdb1pfa,240.52,12533702,16280.49,149481309,1120
scwuojf6fyro,104.31,2012942,20854.08,150716187,1378
dbxpe1wg7ry9,113.66,2424891,24051.63,151379396,1026
ak31ljk2z8v7,21.15,309590,190500.3,153919326,2356
c0v8tmrgfql5,110.46,2282135,17635.79,148868834,1301
6imbqqhc6bk2,25.03,46183,125613.89,153714897,4001
0m1a3ltaowlh,45.36,2064360,23742.47,145995619,890
o0pkx77rfogr,131.07,3213344,16936.55,146338114,823
29w5iavex34x,19.01,587090,100468.9,146970852,1333
tm85xebndjv8,27.59,369905,98400.54,146654973,9345
p9e5glw3u9j2,43.17,2559749,19415.81,144760400,875
mzau7ngya3p6,42.1,1944461,19613.8,142504940,1059
tf4sbvrkm1xu,80.25,2699431,18029.25,144483313,1174
znbznb8k858l,60.68,3522197,17919.96,143568345,1311
kotvpwksjohf,4.07,11324,88587.19,142324898,2713
j41rhnh07dq4,45.06,2379704,20760.2,141808670,1082
hkk69ixj97yw,5.74,44186,222321.42,140907601,2632
x7dl36dbww3e,112.61,2377214,17593.76,138543431,828
d4jfkh6bmx8k,106.33,3450422,13954.34,139245458,742
9vgq64t69kkv,31.66,2066843,28140.94,140655143,1424
82g89wjcx5xx,115.36,2500528,17962.74,140142607,1053
wqzvbl8k3kf1,3.85,32256,31775.76,138584188,1020
zhpor3vjn6b1,125.91,2979139,16030.56,137122776,765
g1xwg4r5lfal,30.17,480374,176892.36,137820618,2732
l9om7ydyeiqr,2338.96,36179848,6617.58,136490878,1310
w7s9jse9l28f,50.87,2761167,18584.69,137382710,1113
slym6bih78ta,16.02,143285,126533.7,138215291,2734
np86imwh6lso,33.1,563875,140135.81,137141624,1623
8mb7jokv68yr,124.04,2893733,17093.64,138212546,780
jgfze3r8e6zy,42.21,1755069,21626.03,136739841,1108
hqydwgfo2g6m,4.72,6910,91552.13,138193522,13808
bmo5ijs5mbmz,42.27,1076400,48041.68,135297198,995
qfbhk978jjdl,61.77,3229119,13299.59,136186259,920
stxdk80ttzwz,132.48,1393863,147784.45,135122846,2850
aj5tllzx47f5,39.8,1241467,28180.41,135070730,910
nzn6sekk7bzh,130.2,3173846,14672.96,134587850,716
jc3035hbf8ht,103.03,5338247,7583.03,133654576,574
6t88h54xu550,110.36,2277669,24115.52,133790513,955
1ycfc0zavomi,46.24,1458624,20627.29,132608190,1070
xluptna4yin6,110.61,2288858,14937.53,132927254,1124
yc2nztc3a9ot,91.51,1491160,41293.74,133624045,1597
z98pm05b79i2,121.5,2778404,16385.41,130415969,810
341edvuddaol,27.34,478963,15465.44,129514216,761
85wczq0ejayn,128.66,3103714,15715.92,129964923,1272
z9toqop3r08t,145.08,1891740,121843.06,129598927,1511
7676bwsd0mm6,124.51,2914966,16176.66,131267550,900
9vjw272h5it6,109.03,2218541,16655.71,130652097,738
phtqoamp3se8,42.3,3263306,13723.07,128730199,931
vgaljtqj4c8l,112.15,2356585,15688.38,128765034,805
bnhagseqm95u,119.51,2687774,16972.1,127127426,1058
x0ldv4usgfw8,110.03,2262995,19055.62,127010748,851
wy13lg13yki4,114.24,2450818,25664.21,127386917,1013
jhdetk8kcs8d,110.62,2289239,17243.73,126752485,942
ulg46lb811k7,98.9,1785846,25234.19,126152789,1060
1lz1rlnjic9w,28.53,462537,137163.57,125032922,16493
rmo76qdzp2dd,5.01,9252,29828.96,121695797,7650
c6bw4rj3sal5,82.92,5318894,10198.23,121872990,688
ikmohywoausg,44.46,1461111,35843.05,121983813,1691
ul5owmopjhdp,103.7,1987246,15560.31,120655261,713
kvk3tspowz5h,21.71,389069,76843.97,120051901,1078
qcokmegdnyxa,106.11,2091282,15377.2,117507598,926
yg213i5x1eju,103.49,1978500,21362.25,117072237,934
wnhvmnw4xlfu,30.69,540573,95776.07,117459713,3517
mdbhc3ida24h,27.65,589058,99917.34,117079855,1104
l5w4r2nxgoqm,104.54,2022605,19425.09,116140885,773
bt9z1gdrpq6h,84.73,1243536,28180.71,116004144,959
mbcyvg5gxaw9,109.7,2248547,31523.16,115711574,1216
gw47vaurjyr1,9.95,3507,14410.21,115734233,613
kz26pjy1pqs3,32.51,1126352,14354.39,115674873,896
2tbt0x200muo,9.61,299,174384.78,115981764,5000
1afv01inhnb1,60.31,566556,89496.71,114285985,5776
g6rh57vlqajn,9.94,25104,13617.66,112966046,932
x9lamw6bgywt,117.03,2576207,19811.77,113597794,1424
rnxe7amrcynw,66.46,704235,16799.88,113668428,852
1znkosucvpmz,104.87,2037309,16035.08,113845290,732
xsgj661af50r,34.02,856564,115136.85,111480622,3886
