username,payout,points,total_payout,total_points,total_wus
71tsdlxcz71u,102.73,1878123,15854.82,154452597,870
pcyzfv5ljc5h,27.34,604875,199049.95,156188324,1976
t35yivdb1pfa,54.47,2565851,16392.64,154692266,1145
v03igr9oj08b,13.92,83764,116032.87,155384550,1329
scwuojf6fyro,81.94,1097251,21093.71,153822215,1403
6imbqqhc6bk2,14.91,16954,125646.6,153754512,4003
p9e5glw3u9j2,31.91,1326081,19518.09,148619267,895
znbznb8k858l,48.68,1212727,18064.85,148642864,1343
tf4sbvrkm1xu,35.38,391836,18193.75,147318647,1195
o0pkx77rfogr,92.49,1468292,17219.62,150961044,846
0m1a3ltaowlh,41.03,1050248,23859.84,149252933,908
c0v8tmrgfql5,88.22,1311021,17894.87,152637161,1321
29w5iavex34x,26.12,723301,100537.79,148721436,1346
tm85xebndjv8,22.49,222494,98452.5,147131218,9353
mzau7ngya3p6,36.35,954982,19727.24,145457167,1077
d4jfkh6bmx8k,74.15,1616273,14152.11,144297810,770
x7dl36dbww3e,90.06,1378406,17854.37,142340453,847
jc3035hbf8ht,70.59,2811953,7775.94,142155159,606
8mb7jokv68yr,91.64,1436371,17374.69,142757732,800
w7s9jse9l28f,41.92,1417485,18717.54,141762266,1139
82g89wjcx5xx,81.15,1071933,18215.36,143667297,1078
9vgq64t69kkv,21.26,369749,28217.65,143042901,1442
zhpor3vjn6b1,79.67,1026265,16291.89,140964040,783
kotvpwksjohf,14.07,181305,88601.26,142506203,2716
jgfze3r8e6zy,39.11,981356,21744.4,139790760,1131
nzn6sekk7bzh,101.22,1815826,14957.33,139274138,740
hqydwgfo2g6m,4.92,3310,91564.98,138203532,13811
qfbhk978jjdl,51.25,1632053,13415.2,139786074,944
np86imwh6lso,24.22,256605,140202.55,137781640,1628
wqzvbl8k3kf1,33.15,614381,31808.91,139198569,1023
6t88h54xu550,81.46,1081508,24364.65,137201371,974
slym6bih78ta,13.52,76621,126570.89,138447357,2738
bmo5ijs5mbmz,34.84,681038,48140.96,137229294,1009
aj5tllzx47f5,30.06,643879,28267.62,136809400,921
g1xwg4r5lfal,19.31,225768,176963.27,138622523,2741
z98pm05b79i2,89.23,1347583,16600.68,132992419,825
9vjw272h5it6,69.27,736388,16891.11,133687865,756
xluptna4yin6,56.6,468100,15141.41,135097303,1143
z9toqop3r08t,118.68,1171014,122201.52,132640143,1527
1ycfc0zavomi,28.65,796373,20720.79,134858087,1084
85wczq0ejayn,92.09,1452583,15998.67,134581500,1309
yc2nztc3a9ot,66.32,665369,41500.94,135821138,1613
7676bwsd0mm6,90.88,1408376,16446.9,135434167,925
phtqoamp3se8,36.71,1732423,13805.73,132106841,951
vgaljtqj4c8l,82.71,1122846,15942.28,132328151,827
bnhagseqm95u,86.2,1240298,17230.35,130841525,1084
341edvuddaol,23.34,277767,15533.6,130393096,769
x0ldv4usgfw8,83.13,1136884,19304.97,130421906,870
wy13lg13yki4,91.97,1448354,25926.34,131254991,1036
ulg46lb811k7,82.96,1131014,25467.84,129140975,1081
jhdetk8kcs8d,78.13,978379,17479.03,129725820,962
1lz1rlnjic9w,18.1,261105,137218.45,125762457,16517
x4br97v8y508,24.09,273638,78134.85,125275985,1632
ikmohywoausg,38.21,809059,35937.06,123832604,1710
rmo76qdzp2dd,5.05,14365,29846.25,121756063,7657
qcokmegdnyxa,73.85,855515,15614.96,120564330,944
yg213i5x1eju,79.12,1009152,21596.98,120034246,952
l5w4r2nxgoqm,78.15,979024,19657.25,119011049,789
kz26pjy1pqs3,27.7,780090,14439.99,118354930,917
mbcyvg5gxaw9,70.84,775289,31753.72,118550942,1235
ul5owmopjhdp,60.81,547573,15774.18,123142041,726
kvk3tspowz5h,26.94,257149,76918.9,120812196,1084
wnhvmnw4xlfu,23.46,269715,95852.04,118404096,3524
mdbhc3ida24h,29.99,467811,99984.87,117984120,1110
bt9z1gdrpq6h,63.88,611360,28366.28,117740474,972
rnxe7amrcynw,75.31,896780,16937.88,115182712,862
1znkosucvpmz,76.07,918745,16274.01,116928981,749
x9lamw6bgywt,93.29,1499401,20079.68,117656740,1458
pnecijlqdlst,60.26,2554268,4986.33,112679917,506
1afv01inhnb1,50.61,369524,89636.21,115198110,5789
g6rh57vlqajn,9.78,8368,13646.55,113011173,936
rttldvetq65i,81.21,1073787,27984.39,113612575,1044
xsgj661af50r,22.44,485026,115207.66,112799016,3920
zl79hpt4rkyk,98.87,1718921,12242.01,107055522,907
1x2ijsdhqttd,43.04,982274,10410.32,111248201,574
rcppu8zp35k3,5.87,8368,15202.53,109818961,1076
z9jqyyzw1qtq,90.46,1393064,13754.81,111706965,821
5tx605q3nobp,86.13,1237957,14888.54,111409972,783
f7jj5afu1bsn,31.54,400364,144265.57,108836122,1540
gx9y89sldgqe,13.0,225388,27453.22,110390604,689
42w0s785rhty,9.73,15029,110195.93,111303987,2108
ohjr463l1yrh,30.51,415231,122356.18,106974363,1699
7u6iddachsyg,13.89,103792,106796.55,106871943,3013
suhd8v55nr5r,78.46,988813,15294.93,105775157,902
kijako9qj01l,81.49,1082501,21703.43,104931081,1473
x23k57mvicye,83.33,1143266,13173.07,104897742,769
qe044k7zur3u,86.51,1251351,14100.91,105236151,627
1p7644j215ok,90.68,1400914,20264.33,105148745,703
1yxprhtgmo01,39.76,244259,18596.48,105577889,671
m7lfmnbp6h0o,45.75,1244705,16892.53,105841635,1549
mv914kqxpl7b,75.42,900019,14803.95,104935344,720
s5b4208xq8t4,33.11,557540,96921.0,104954716,2274
on2nah414tgp,49.09,347508,69349.75,104765078,943
6jv708z00950,41.29,971115,10206.91,101522622,1122
xbfrcct8uh5i,71.89,803392,18690.0,101542324,1466
na5ppetrq93k,92.72,1477446,12843.53,103493797,519
why369y57dje,16.08,105036,90918.02,101132477,4178
3zao7rnrbnay,60.37,538830,8332.07,101357663,1033
73ifmidzrdn5,135.26,1258234,102537.05,101097728,1012
nt0mxev0zkbp,67.55,694495,26092.07,102566230,1023
wkxf8uo3sm0q,88.99,1338944,103346.42,104736846,734
a0fnbsi0an43,61.72,565694,15387.21,100573400,992
2yoq05ptid6u,51.21,379024,13968.27,99849906,605
sdim91r8ja4k,72.06,1378949,10085.16,98218272,706
0sv2knpt19pf,81.89,1095611,13581.41,97723149,987
omz0oo81nz7a,63.57,604432,24831.89,98542213,738
iaq0die74280,96.84,1637863,13487.4,99730668,1034
ahjdss3atxwv,15.45,150567,85763.2,99352064,3644
n5toorrfigke,21.55,97496,22432.86,99317775,1346
dpf9woc6wibu,92.28,1460386,12064.7,99004778,579
yvy892whfqot,46.22,308067,78352.72,98511499,1422
8v3djz4xxzol,99.2,1732201,19842.89,97426302,893
o2bw1p0t1zuv,63.21,596404,61301.22,97530264,835
4v78wixem2r4,30.76,752026,14558.31,95470539,811
6145vv2ct28t,111.06,2237615,7272.17,97014275,656
fq7smf9hp5g1,67.21,686255,21907.79,95606029,1016
rtuw08kvpt5d,17.69,413758,16502.33,95401061,760
be4uh3wif1pl,30.08,433622,101408.35,94967034,4744
zmg99isfipib,66.8,675890,21518.3,97020239,883
