username,payout,points,total_payout,total_points,total_wus,date_joined
dh6orpxr7bps,42.37,351969,790.59,5889670,68,2021-07-01T06:05:19.431Z
dh7fhpos9kkm,30.09,134096,6455.95,46810362,399,2021-04-26T15:52:22.237Z
dgm3nsp469lc,29.74,501000,4162.78,28108339,117,2021-05-02T19:03:29.948Z
dgf8hvv7aavm,9.68,24611,930.78,2058704,126,2021-05-07T08:25:16.808Z
dgdhiybt9zwp,9.67,4040,370.05,128321,51,2021-03-24T18:46:18.55Z
dgx0wgjt6qd3,9.8,8919,624.3,398708,96,2021-05-07T09:27:38.74Z
decqgumlsvnf,9.63,18075,3188.0,23697731,258,2021-04-22T17:45:28.945Z
dfwjbn4wespj,43.26,368985,1590.17,11668988,160,2021-06-27T15:00:38.570Z
df7jh89tlu68,7.5,6236,412.0,194737,51,2021-05-25T15:01:17.927Z
deg09n6siiom,74.16,823718,7129.17,99144173,353,2021-05-21T18:44:32.82Z
de6xakr4bdfj,10.0,71987,923.22,6586980,38,2021-06-20T23:38:43.55Z
de4pr1t6zlqk,6.47,5824,371.23,355512,60,2021-05-18T05:05:55.753Z
df0tsic2hc0g,9.63,11529,11901.69,18746639,706,2020-10-04T07:06:30.135Z
ddzo4s18mnx1,12.06,40663,1599.82,4596513,199,2021-05-15T02:13:12.714Z
dfovjh34phew,56.91,310676,4588.5,31843789,294,2021-05-17T14:31:55.89Z
df17jninh2m0,78.72,2481001,8547.52,161502662,732,2021-05-09T06:00:42.872Z
ddvz2keeqa4f,14.39,18012,836.3,957076,94,2021-04-15T17:55:31.715Z
dd4flij51ztc,34.14,444411,5527.86,65626854,423,2021-05-08T04:02:36.736Z
dcge82l9b5a4,15.62,163326,8688.59,24865695,589,2021-02-18T22:52:11.531Z
ddsvcxyfzoql,26.95,140894,3604.45,12745931,294,2021-04-08T21:37:42.87Z
dceh504ut1ol,7.17,48215,23140.68,163481535,2781,2021-02-06T13:39:53.997Z
dcuqlf9nzy6i,47.5,462178,1610.13,11920063,167,2021-06-27T14:54:27.694Z
dbq3tc79ms01,38.39,127666,2916.34,19387926,263,2021-06-07T15:02:58.46Z
dbyi9nptk2nl,41.58,337766,24726.55,132112431,901,2021-01-25T15:53:22.371Z
dd6jnbyk33eh,8.4,42700,36659.42,25611446,3635,2020-08-21T04:21:50.429Z
dc5uyvltqavv,9.58,7790,840.02,557660,106,2021-05-17T13:36:01.819Z
