username,payout,points,total_payout,total_points,total_wus,created_at
zzmlysr4v1eb,9.79,3310,96.93,44610,14,2021-07-14T02:08:54.236Z
zz7xblz5vh75,17.97,153838,1271.69,9521683,50,2021-06-15T03:08:24.875Z
zywzewm7w2ze,10.67,51068,1879.5,5757237,383,2021-04-27T20:29:11.251Z
zywhpi9dit4p,17.21,39820,434.36,1295143,67,2021-07-05T15:42:19.495Z
zyvc2nodo068,33.92,219025,2262.52,14357189,87,2021-05-16T03:47:33.431Z
zznkv6xpbh28,9.57,9189,789.5,577876,100,2021-05-26T16:34:24.28Z
zzocr0figgxr,37.61,271183,1992.98,14810423,188,2021-06-27T07:31:43.470Z
zz37y9eetszr,96.55,1062216,5126.22,75510443,404,2021-04-29T01:46:21.122Z
zzw88jwyyzzk,28.69,192265,773.67,4462280,257,2021-07-08T17:57:08.783Z
zzwvtryzltcr,88.3,993003,10799.8,114949651,1155,2021-04-18T23:31:21.811Z
zx8vr0pnlejw,40.87,324923,3226.63,22363792,599,2021-06-07T04:08:33.802Z
zxnmy0a7w7tm,45.74,200000,1484.3,5984961,159,2021-05-13T13:04:16.904Z
zygzh5nmiubo,35.54,239776,1570.48,11306843,159,2021-06-27T02:12:40.735Z
zygq34v9tv10,13.53,6000,1327.32,2337602,348,2021-05-15T19:36:27.387Z
zxnnvf58tqdp,41.44,251921,4957.46,30538941,1186,2021-05-07T10:33:03.284Z
zxrlilz6xrj8,41.95,344389,6698.3,62623081,527,2021-04-20T00:50:21.375Z
zy1h3liskhwc,9.49,18651,6651.38,46904411,712,2021-05-02T16:39:19.542Z
zx7rqklr7udl,9.75,13029,1118.04,2263405,145,2021-05-07T01:24:51.445Z
zx2zkzcak5j4,71.62,624970,524.38,3426812,26,2021-07-15T20:29:18.369Z
zx678fhm54hi,12.58,6332,9245.8,32801935,2010,2021-03-14T02:15:13.543Z
zvi9rworxtah,20.21,87052,389.19,1404017,30,2021-06-06T22:31:20.357Z
zwi0kddqankb,42.2,267097,3459.18,17548804,356,2021-04-19T10:46:17.809Z
zvq1p3nj21wb,22.8,63798,3490.65,15695893,197,2021-05-06T19:20:02.423Z
zvvxd93jrvmn,37.98,276754,1430.45,10411858,123,2021-07-01T06:00:24.598Z
zvfj9fj2pils,4.79,27070,4797.08,22969646,810,2021-03-14T00:45:04.778Z
zvqgsybh8mw8,9.51,24133,1473.54,4438793,149,2021-04-15T19:21:55.678Z
zwc0eu8xj928,34.86,231043,7528.83,41961372,616,2021-04-16T01:34:57.910Z
zwicd3dot5zw,5.7,15330,9283.11,33590962,681,2021-03-15T15:56:43.73Z
zvd6suegb6e5,39.67,303369,4626.06,45900915,165,2021-05-18T01:23:02.683Z
zvcbqsz5959t,30.93,182220,4643.47,29395527,484,2021-05-12T22:28:39.865Z
ztmlhktx2pxv,19.81,84303,1050.23,3360717,106,2021-06-06T11:03:02.301Z
zvbcy5s1kpvc,64.27,335626,3464.96,23069228,302,2021-06-07T15:02:30.423Z
zua2s5jlt8b0,24.74,121719,176.05,732476,16,2021-06-19T08:52:58.944Z
zuvj075autgb,9.47,21807,2000.3,10368008,190,2021-05-20T23:27:51.483Z
zutvnjhbgmer,43.14,365702,2389.93,16881132,202,2021-06-17T23:40:05.53Z
ztqtp2u06v5i,9.88,23756,830.4,2042350,192,2021-06-08T08:58:07.387Z
zuml5nd9tm1r,9.72,7762,1823.44,12005103,290,2021-05-07T09:54:04.597Z
zu9byvltluk1,11.02,48127,3158.63,5363348,310,2021-03-08T13:49:31.174Z
ztjx868nsae8,5.39,55254,14046.55,43019886,542,2021-02-07T18:58:00.221Z
ztdfc192304s,72.4,594113,20083.78,135771786,1355,2021-03-09T17:33:15.951Z
zs67ib7h3bon,9.81,11760,680.75,1462216,102,2021-06-04T05:18:12.209Z
zt1yajaxbgce,9.89,39700,54.26,208706,7,2021-07-16T14:22:26.977Z
zt71u5pip8o6,9.94,11289,4636.42,20539147,394,2021-04-28T03:37:17.191Z
zsjdjuyf3x2x,9.79,4291,205.93,180949,24,2021-05-07T11:46:01.941Z
zrjznqycqswv,48.2,687732,9513.9,138415725,921,2021-05-13T10:10:27.852Z
zs704nargz31,45.63,276750,17794.65,164824254,1978,2021-03-09T13:01:10.611Z
zstlpord3l9k,14.04,67770,787.22,2721706,59,2021-04-27T15:43:54.645Z
zrh3e31l8hbl,52.58,322973,3899.18,26204643,324,2021-06-04T02:34:31.442Z
zr7swvvsyut4,44.6,397033,1920.54,13838211,186,2021-06-27T07:27:34.761Z
zsat3l1clonf,5.05,28836,166756.84,87448191,3974,2019-04-14T21:13:48.67Z
zr43t1c7t6j9,44.04,385376,1721.86,12944258,157,2021-06-28T10:28:19.295Z
zqx8tjdo84gi,21.2,93960,7343.01,27799153,1137,2021-03-08T15:13:09.960Z
zpiehfkl6459,14.63,3310,534.07,150817,78,2021-05-08T05:08:16.964Z
zqkluz8lb5d2,55.03,694376,8555.09,105160514,561,2021-04-20T10:38:31.258Z
zpkgfrn21gp8,21.65,164517,1475.01,11122070,67,2021-06-15T03:05:35.489Z
zp73qs4w279x,75.95,614359,2904.98,27313054,237,2021-06-11T02:20:10.509Z
zpudbxx1r582,18.32,162969,1603.83,10492312,63,2021-06-11T23:05:16.752Z
zotaumbm2h97,82.92,648393,6148.78,63001197,389,2021-05-10T22:54:45.577Z
zp2jrib36uob,41.04,154385,2907.94,13148250,257,2021-05-13T15:13:19.738Z
zoe9i8wmmxg7,40.31,314932,7218.19,41768571,192,2021-04-19T13:31:51.275Z
znkh7l04k3yy,53.04,329437,3667.26,24896232,318,2021-06-04T02:39:48.911Z
zniqd147a267,15.42,6471,1075.73,2455701,121,2021-05-07T18:22:07.82Z
znjuzb4uy2v8,23.99,205448,1149.26,9015483,52,2021-06-12T00:41:01.853Z
zoes7qjmf2wz,68.69,687508,7449.49,96288284,628,2021-05-21T04:13:04.508Z
znm19tpld6vn,5.49,5570,995.65,477171,195,2021-02-25T17:25:54.524Z
zndju9el7xr2,99.65,1604904,16362.0,303839273,2078,2021-04-24T04:24:33.793Z
zneevolqriwn,16.53,64751,7681.85,38549906,356,2020-02-12T17:34:26.335Z
zncvvgadqdjf,61.31,350312,3523.47,23653192,290,2021-06-04T02:34:21.332Z
znbznb8k858l,32.04,1645257,22570.42,340065104,2288,2021-02-03T09:35:32.510Z
zm2drgu8t7id,37.41,268029,1649.81,12235980,152,2021-06-28T10:29:30.493Z
zm0se7xmji6v,9.58,33524,204.93,309541,26,2021-05-09T16:23:58.30Z
zmoty5tiw6ef,9.82,5030,233.66,71940,32,2021-05-24T01:42:45.544Z
zmmhcer3bclp,26.25,180141,2362.91,19939271,286,2021-05-11T03:32:49.824Z
zm4az9g057m7,24.87,164293,48220.47,41556839,725,2020-04-29T16:46:08.443Z
