username,payout,points,total_payout,total_points,total_wus,created_at
zywzewm7w2ze,2.22,19736,2355.2,8762795,527,2021-04-27T20:29:11.251Z
zztpmfdaobea,1.86,5439,136.81,110822,26,2021-06-28T08:15:02.569Z
zyvc2nodo068,18.93,139823,3162.12,21075429,124,2021-05-16T03:47:33.431Z
zygq34v9tv10,4.2,11368,1848.69,2850862,451,2021-05-15T19:36:27.387Z
zzj7fmzx6fbd,21.49,286470,1835.3,14933666,72,2021-06-18T02:29:42.8Z
zywhpi9dit4p,12.42,52568,1065.04,2770393,148,2021-07-05T15:42:19.495Z
zzw88jwyyzzk,42.38,879724,2104.48,20322120,913,2021-07-08T17:57:08.783Z
zzocr0figgxr,28.58,246589,3296.09,25272137,311,2021-06-27T07:31:43.470Z
zz37y9eetszr,104.29,908133,8040.68,106835685,551,2021-04-29T01:46:21.122Z
zznkv6xpbh28,2.59,9245,1056.67,858258,135,2021-05-26T16:34:24.28Z
zvvxd93jrvmn,31.93,291094,2276.36,17083501,199,2021-07-01T06:00:24.598Z
zvqgsybh8mw8,4.12,24175,1853.76,5537186,213,2021-04-15T19:21:55.678Z
zvw98npe0vjn,10.37,66858,1039.32,2744224,49,2021-03-13T10:46:48.345Z
zx7rqklr7udl,3.86,22317,1461.6,3011885,207,2021-05-07T01:24:51.445Z
zx8vr0pnlejw,2.61,4300,4035.11,26801225,718,2021-06-07T04:08:33.802Z
zx678fhm54hi,17.39,70195,10416.23,36886954,2088,2021-03-14T02:15:13.543Z
zy1h3liskhwc,26.3,201315,8331.0,60222454,926,2021-05-02T16:39:19.542Z
zvhe885vzhmg,17.75,128058,1371.2,10095916,101,2021-07-21T15:55:20.779Z
zwi0kddqankb,38.35,221531,4699.53,24356905,465,2021-04-19T10:46:17.809Z
zvfj9fj2pils,9.63,150961,5010.14,24457154,892,2021-03-14T00:45:04.778Z
zvbsnbn58w28,2.6,3310,667.22,307170,134,2021-05-18T18:01:23.346Z
zu32zceoknbi,5.48,32787,855.0,837814,104,2021-02-13T20:25:45.620Z
zvcbqsz5959t,40.04,418025,5219.97,33670528,541,2021-05-12T22:28:39.865Z
