username,payout,points,total_payout,total_points,total_wus,created_at
zz37y9eetszr,85.77,1148993,6490.16,89392206,473,2021-04-29T01:46:21.122Z
zz7xblz5vh75,23.09,194276,1446.17,11045029,58,2021-06-15T03:08:24.875Z
zyx6afya6snz,29.94,346664,1501.33,14292759,53,2021-06-03T00:38:15.136Z
zznkv6xpbh28,9.9,7210,935.82,720449,119,2021-05-26T16:34:24.28Z
zzw88jwyyzzk,23.42,180987,1405.35,9630451,569,2021-07-08T17:57:08.783Z
zzwvtryzltcr,38.19,154235,12155.19,128051173,1323,2021-04-18T23:31:21.811Z
zzocr0figgxr,39.55,300736,2818.45,21269069,264,2021-06-27T07:31:43.470Z
zywzewm7w2ze,18.17,145887,2125.77,7174812,454,2021-04-27T20:29:11.251Z
zzmxnychvwgx,8.81,49030,101341.48,107883171,1093,2019-05-30T12:57:08.542Z
zywhpi9dit4p,13.36,29118,772.18,2029581,112,2021-07-05T15:42:19.495Z
zxvtp9h7bs1v,9.83,26577,1246.54,3190672,163,2021-05-07T09:15:34.395Z
zxjbs6ukzphb,4.41,4940,812.83,2716123,143,2021-02-15T07:11:05.680Z
zyvc2nodo068,39.67,303352,2695.3,17289336,105,2021-05-16T03:47:33.431Z
zx8vr0pnlejw,13.76,48068,3813.18,25940470,687,2021-06-07T04:08:33.802Z
zygq34v9tv10,14.53,5470,1620.4,2633912,413,2021-05-15T19:36:27.387Z
zyogvakst4yg,11.21,67770,3192.78,13800236,469,2021-04-20T20:14:13.85Z
zx7rqklr7udl,9.74,20711,1312.87,2615101,176,2021-05-07T01:24:51.445Z
zy1h3liskhwc,39.07,259590,7515.47,53276232,818,2021-05-02T16:39:19.542Z
zxrlilz6xrj8,55.25,682565,7576.29,72206417,606,2021-04-20T00:50:21.375Z
zx678fhm54hi,12.88,18200,9830.5,34633579,2048,2021-03-14T02:15:13.543Z
zvp5igcak8i7,32.26,233595,4597.88,30130309,128,2021-05-04T13:40:48.137Z
