username,payout,points,total_payout,total_points,total_wus,created_at
zztpmfdaobea,1.63,6296,150.28,159032,34,2021-06-28T08:15:02.569Z
zywhpi9dit4p,13.02,52970,1230.2,3396129,180,2021-07-05T15:42:19.495Z
zzocr0figgxr,39.05,399887,3803.58,30266308,365,2021-06-27T07:31:43.470Z
zzw88jwyyzzk,43.32,949008,2782.71,36203647,1345,2021-07-08T17:57:08.783Z
zz37y9eetszr,54.75,363031,9430.48,121456196,613,2021-04-29T01:46:21.122Z
zzwvtryzltcr,4.55,8510,12994.06,131668194,1458,2021-04-18T23:31:21.811Z
zywzewm7w2ze,7.84,78608,2444.04,9650502,580,2021-04-27T20:29:11.251Z
zygzh5nmiubo,31.09,279049,2015.22,15270725,209,2021-06-27T02:12:40.735Z
zyvc2nodo068,17.4,125039,3451.85,23530605,139,2021-05-16T03:47:33.431Z
zz4wz65z2t99,23.62,188100,7620.63,48837643,599,2021-04-12T16:59:51.926Z
zwxeh9vufha6,2.82,16217,104.49,279284,34,2021-08-01T08:21:22.16Z
zwa9a67wrjcy,13.36,90000,1553.26,6812476,224,2021-04-29T08:13:25.203Z
zxejtqidwpdz,5.04,30005,23.79,158177,8,2021-08-06T00:03:37.291Z
zvvxd93jrvmn,22.93,180371,2790.34,21955400,264,2021-07-01T06:00:24.598Z
zwi0kddqankb,36.72,210965,5268.22,27590211,512,2021-04-19T10:46:17.809Z
zvhe885vzhmg,22.68,177595,1824.91,14252326,140,2021-07-21T15:55:20.779Z
zx678fhm54hi,34.42,157497,10832.68,38777688,2120,2021-03-14T02:15:13.543Z
zx7rqklr7udl,3.48,20066,1509.25,3278123,225,2021-05-07T01:24:51.445Z
zy1h3liskhwc,31.37,278717,8920.78,66254472,1009,2021-05-02T16:39:19.542Z
zvbsnbn58w28,2.67,6620,706.27,386020,159,2021-05-18T18:01:23.346Z
zti5i2spekxd,10.42,67300,691.93,5221727,30,2021-07-10T20:33:09.548Z
zvd6suegb6e5,35.51,343271,5358.54,52795077,196,2021-05-18T01:23:02.683Z
ztqtp2u06v5i,10.43,67371,1638.45,6142186,414,2021-06-08T08:58:07.387Z
zvfj9fj2pils,6.49,89120,5130.21,26332486,957,2021-03-14T00:45:04.778Z
zvcbqsz5959t,22.57,176380,5606.73,36914526,599,2021-05-12T22:28:39.865Z
zu9byvltluk1,8.02,49979,3533.85,6610974,360,2021-03-08T13:49:31.174Z
zugd60dh8hfk,2.61,14976,5164.94,5167638,498,2020-11-04T05:07:47.254Z
ztdfc192304s,66.44,503409,24264.09,167432572,1637,2021-03-09T17:33:15.951Z
zt71u5pip8o6,20.02,150470,5362.4,25497955,496,2021-04-28T03:37:17.191Z
zt1yajaxbgce,35.33,340380,1414.16,11567651,63,2021-07-16T14:22:26.977Z
zsf0vzrfmqlo,26.22,216990,664.28,4185757,53,2021-06-20T16:33:03.914Z
zs602gmaxj09,4.23,5018,757.74,1095355,107,2021-06-18T22:12:32.444Z
zsqqyha53gtr,2.58,5780,10.4,24580,8,2021-08-17T01:47:11.354Z
zs67ib7h3bon,3.64,21027,1051.35,2360464,180,2021-06-04T05:18:12.209Z
zsfjb716u4a6,4.22,8546,1240.82,832357,150,2021-05-08T09:06:30.488Z
zs704nargz31,10.2,37955,21288.37,202296463,2391,2021-03-09T13:01:10.611Z
zs5oc32ut9t3,19.22,210370,3836.71,34604588,128,2021-06-13T18:09:37.435Z
zrswz6b1b1g1,35.43,189810,5234.17,32205373,425,2021-06-17T02:46:47.499Z
zsat3l1clonf,7.2,91699,167062.24,89673191,4097,2019-04-14T21:13:48.67Z
zqt42xigory0,1.16,4940,403.23,239722,102,2019-09-14T02:54:10.148Z
zqvv0hik1zxj,31.61,286470,804.36,6050826,35,2021-07-10T20:10:59.289Z
zqd4uo1f0wda,10.6,35576,1203.45,2419468,216,2021-06-17T12:53:39.770Z
zrjznqycqswv,50.77,949632,12389.87,195026702,1271,2021-05-13T10:10:27.852Z
znm19tpld6vn,1.51,3310,1089.29,595661,235,2021-02-25T17:25:54.524Z
zqkluz8lb5d2,52.96,834415,11674.4,149303088,798,2021-04-20T10:38:31.258Z
zr7swvvsyut4,26.75,223678,3931.14,30532057,390,2021-06-27T07:27:34.761Z
zr43t1c7t6j9,38.55,391944,3827.69,30828248,379,2021-06-28T10:28:19.295Z
zobkz7s63azn,5.85,104248,14086.02,16000915,586,2019-07-14T03:20:05.432Z
zndju9el7xr2,92.4,1739214,21385.12,392988531,2683,2021-04-24T04:24:33.793Z
zkxnsdiwget5,10.23,65337,2575.96,16387477,431,2021-05-29T19:12:28.818Z
zn9jl54cfrv1,31.45,284274,3866.35,29943134,381,2021-06-17T02:48:43.943Z
zmmhcer3bclp,4.82,28602,3062.45,23832544,439,2021-05-11T03:32:49.824Z
zmg99isfipib,51.2,648027,27512.1,161944920,1283,2021-02-18T11:58:28.22Z
zmg05cpliaob,4.81,18591,2095.15,5915981,495,2021-03-04T16:51:54.525Z
zjjbtardqpsx,2.58,3646,621.76,526704,89,2021-03-02T07:14:59.542Z
zm2drgu8t7id,33.55,314097,3701.48,29369779,347,2021-06-28T10:29:30.493Z
zm62l621q7du,17.49,125796,8121.97,51915679,683,2021-04-19T00:57:20.185Z
znbznb8k858l,40.92,1648930,24562.13,442041715,2850,2021-02-03T09:35:32.510Z
zkrwbodiz7h5,69.59,503730,7061.77,58245293,603,2021-05-06T19:22:15.135Z
ziz10c7vv9h0,32.66,301413,1701.9,11460321,104,2021-05-13T14:39:19.246Z
zgi1cokedbg0,39.34,405424,2165.89,16078495,196,2021-06-27T02:13:38.983Z
zgt3awwov2jk,4.2,14862,766.92,761580,80,2021-05-17T16:55:22.345Z
zgmnjd8i0qu4,11.05,72119,2091.81,13735992,78,2021-05-28T03:03:45.413Z
zg7i9zi8she7,11.57,76161,3799.98,19372151,347,2021-05-06T15:38:14.98Z
ziyqp7gg32qe,53.79,281696,5897.79,36293008,462,2021-06-16T04:41:34.988Z
zfjva8lz1bkd,2.69,14619,854.24,969673,107,2021-05-13T02:38:08.324Z
zhpor3vjn6b1,76.14,1520175,23351.49,251862042,1289,2021-03-18T17:25:09.938Z
zgyq9h1nwfau,18.99,140344,2413.62,3706980,358,2021-01-19T22:41:22.625Z
zg58ldxeyfik,4.72,16736,1923.63,2863639,438,2021-05-13T04:38:48.950Z
zep9bvsx0v1n,35.68,345924,2030.36,15195706,211,2021-06-27T02:11:12.94Z
ze9tnl0nks84,1.57,9473,1151.48,1485767,209,2021-04-12T11:15:23.233Z
zf6q7tl9jf6t,2.09,5713,343.59,156025,68,2021-05-28T14:54:32.30Z
zedples1y7r7,2.57,4940,891.27,447843,168,2021-04-19T22:58:22.424Z
ze7xi77ingmq,3.7,21372,1853.98,6201366,300,2021-06-02T03:27:31.34Z
zf4jlpw30jj9,12.56,83862,5397.88,39203220,147,2021-04-28T17:52:00.273Z
zdrzpdn3foq9,75.7,1249198,9043.49,147431206,645,2021-05-17T22:06:03.686Z
zedndrjuxdia,31.32,282447,3644.84,28749103,355,2021-06-27T07:28:41.128Z
zdz2ax3x2wbk,2.58,5780,2939.75,7248316,468,2021-04-08T11:03:11.746Z
zdg1mws4nv7w,46.16,534981,7425.88,75481535,448,2021-05-22T01:30:10.176Z
zd0fg5w5ldk6,40.11,419310,3254.96,26284166,313,2021-06-23T14:58:56.982Z
zcdt3vt8lo21,36.87,364948,3829.66,29922770,368,2021-06-23T14:57:27.240Z
zcfnysw8463o,38.25,387035,1667.98,12179542,165,2021-06-27T02:13:32.107Z
zcjpcoxcby4c,25.66,210728,3265.01,25686955,106,2021-05-18T01:21:38.906Z
zdf9tta1f3ns,104.33,827268,10369.0,105869637,529,2021-05-16T08:07:26.622Z
zc672eraszr2,12.63,141888,2063.83,11655146,395,2021-06-05T05:05:20.922Z
zc39ce13ot47,39.27,404280,7569.02,46984208,194,2021-04-04T05:12:53.252Z
zcirypzw461v,35.06,335481,3903.05,31172141,381,2021-06-27T15:01:57.965Z
