username,payout,points,total_payout,total_points,total_wus
zzocr0figgxr,41.43,335083,1641.99,12128987,159
zz7xblz5vh75,29.11,359791,1136.11,8322076,44
zzw88jwyyzzk,30.5,177726,523.52,2834471,157
zz37y9eetszr,97.34,1250998,4502.18,69610308,377
zznkv6xpbh28,9.88,7617,710.56,513708,91
zzmxnychvwgx,6.6,36039,101188.45,106147704,1081
zywhpi9dit4p,13.68,32254,297.66,1020817,49
zzmlysr4v1eb,9.67,4040,48.29,22020,7
zzwvtryzltcr,58.43,351375,10062.77,107203736,1062
zywzewm7w2ze,14.38,89446,1778.12,5179357,347
zygzh5nmiubo,40.34,315516,1227.1,8685794,127
zx8vr0pnlejw,33.08,208250,2910.14,20199725,550
zyogvakst4yg,9.14,64368,3100.57,13171676,453
zxrlilz6xrj8,41.98,344952,6270.05,58198799,487
zx2zkzcak5j4,28.58,96016,65.43,405832,6
zygq34v9tv10,15.02,15080,1206.59,2175195,309
zxvtp9h7bs1v,13.1,45170,1003.8,2710184,128
zxnnvf58tqdp,41.27,332140,4813.77,29599472,1179
zy1h3liskhwc,37.67,271992,6319.36,44201832,667
zx7rqklr7udl,9.67,29321,1030.28,2117821,131
zvvxd93jrvmn,41.34,333447,1079.02,7727561,92
zvqgsybh8mw8,11.84,39694,1380.93,4198178,133
zwicd3dot5zw,5.36,21167,9231.35,33498346,658
zvbcy5s1kpvc,55.25,286739,2962.25,20312074,272
zvfj9fj2pils,4.77,22804,4750.94,22647240,794
zvq1p3nj21wb,21.31,74045,3347.15,15155561,191
zw12nd34pdbn,33.57,214442,38746.84,73565087,1584
zvd6suegb6e5,48.15,477711,4347.75,43601824,158
zwoabh5u1qyj,20.73,53119,1332.32,5254534,99
zvcbqsz5959t,11.84,39700,4362.7,27481794,461
zv3rwpm3zwf0,19.39,161142,2157.66,18379113,93
zutvnjhbgmer,33.62,215160,2024.64,13880022,167
ztmlhktx2pxv,9.57,6197,908.22,2755711,93
ztqtp2u06v5i,9.98,11673,742.17,1824153,176
zu32zceoknbi,9.84,8480,753.84,666687,86
zu9byvltluk1,11.5,38229,3093.86,5167097,299
zuml5nd9tm1r,9.85,8488,1676.47,10727622,275
zuvj075autgb,9.64,21757,1914.29,10184271,180
ztdfc192304s,66.91,379003,19461.18,130849858,1316
ztjx868nsae8,16.5,331954,13984.74,41796714,531
zs67ib7h3bon,9.51,22724,592.15,1315674,87
zs704nargz31,42.83,167509,17568.36,163824802,1965
zsfjb716u4a6,13.22,6679,841.8,524123,108
zs602gmaxj09,12.64,4794,315.38,536361,49
zs5oc32ut9t3,33.45,212951,2845.39,25065799,88
zrr15v7mo6pn,41.9,343430,1963.46,11849104,122
zsnl4mu0s6ci,60.05,296155,3388.01,20810213,122
zsat3l1clonf,17.54,174993,166608.61,85676133,3949
zrswz6b1b1g1,44.75,174897,2027.69,13742634,203
zt71u5pip8o6,29.42,166222,4571.76,20255783,385
zr7swvvsyut4,45.57,417442,1565.51,11048753,155
zrh3e31l8hbl,71.14,475838,3417.39,23502203,294
zr43t1c7t6j9,48.19,478734,1368.52,10167273,126
zrjznqycqswv,56.26,809619,9088.89,130797635,873
zqkluz8lb5d2,57.99,780811,8038.52,97274104,529
zpudbxx1r582,11.79,68288,1499.62,9467004,58
zqx8tjdo84gi,35.77,324197,7187.48,26815631,1125
zpkgfrn21gp8,33.37,370634,1306.14,9527435,60
zqd4uo1f0wda,12.72,28529,546.82,1116949,109
zqt42xigory0,4.83,3000,346.28,167232,77
zp2jrib36uob,12.63,29205,2559.84,11866780,237
zoe5g2sa7vsk,9.8,5288,116.76,67464,19
zoes7qjmf2wz,75.86,730541,6746.66,87718143,571
zotaumbm2h97,90.39,793539,5489.08,57432529,357
zp5ttycopkcq,46.71,443081,1517.84,8506852,66
zoyp8i4yyhy7,32.1,89639,3076.84,10411633,345
zoe9i8wmmxg7,43.64,377072,6832.05,38493655,182
znvcrzddn9dz,6.94,37690,8556.1,9253429,973
zobkz7s63azn,10.82,182133,13796.66,11467152,520
znm19tpld6vn,4.83,5780,969.57,459001,188
znjuzb4uy2v8,31.75,442574,984.42,7184233,45
zncvvgadqdjf,47.57,179707,3037.1,21095348,259
zneevolqriwn,56.77,735938,7464.94,37177719,342
zndju9el7xr2,90.5,1210184,15745.68,292296099,2002
zniqd147a267,12.93,8165,996.09,2340824,113
zmoty5tiw6ef,9.62,5470,214.15,63810,29
zmg05cpliaob,11.18,11544,1433.55,4141591,355
znbznb8k858l,33.98,1988378,22344.9,329809940,2235
znkh7l04k3yy,51.18,263146,3154.49,22047952,284
zm62l621q7du,9.92,8556,5820.82,33402786,472
zm2drgu8t7id,32.5,200746,1294.7,9506434,122
zjjbtardqpsx,9.95,5133,499.79,305111,63
zj1plued3zrs,5.63,29202,4365.98,6736199,382
zk3s2sktr7yh,63.44,340542,585.9,3435318,25
ziyqp7gg32qe,53.84,226595,2440.51,16762175,231
zlw4j5z3x5ai,12.72,6165,335.29,128324,39
ziz0x96wkeh6,44.84,216369,13206.01,87948925,655
zlsv3oy8ygdd,44.02,221633,3273.93,22090347,285
zkxnsdiwget5,14.31,51507,2086.91,13196182,377
zkrwbodiz7h5,73.97,654314,2980.91,28774910,330
zhkwqsas3wwm,9.59,4940,1368.81,1664662,144
zibp2rr6iie4,12.8,6990,1732.53,4814037,249
zhuvrt7r7jmy,21.38,60653,64714.53,88799232,2611
zgyq9h1nwfau,9.55,8682,1993.49,2789536,273
zhv9f1995nji,12.58,42892,2283.87,10952906,356
zg949k2cj52q,14.31,51511,509.9,2295413,67
zgmnjd8i0qu4,30.1,173449,1284.98,7460693,46
zghnjs8ucc0w,17.15,67242,10496.05,7168300,533
zgi1cokedbg0,44.44,393787,1625.81,11832201,151
zgwyt89bkpvg,26.92,82179,5320.21,45530815,372
zf4jlpw30jj9,43.99,384418,4126.5,28286814,108
zg4hpq4zou5i,9.56,5433,295.27,417359,38
zg1i1zi21cxj,9.69,8339,612.04,366595,71
zep9bvsx0v1n,48.3,481331,1147.1,7898449,122
zg58ldxeyfik,13.35,10550,1196.66,2051798,261
zfjva8lz1bkd,10.0,14895,587.45,584383,69
zf8nwhqjskug,9.7,4050,117.4,177694,21
ze9tnl0nks84,5.63,8206,873.2,953579,144
zehlv6c3qrez,18.03,46307,2614.81,10025897,414
zedndrjuxdia,33.37,211941,1511.29,11006462,152
zd0obr7r8hu2,20.74,90792,812.24,2856722,124
ze8eu873sjic,48.08,240699,3341.12,23136547,303
zdrzpdn3foq9,64.81,1220263,5272.37,85164137,365
zcjpcoxcby4c,33.28,210807,1546.24,10648713,47
zcirypzw461v,42.68,357538,1508.95,10971239,142
ze1qm7rm0c3p,38.54,285379,7069.61,46678895,348
zd0fg5w5ldk6,37.23,265285,1132.33,7937596,110
zdf9tta1f3ns,68.8,411074,5909.71,67742041,347
ze7xi77ingmq,10.65,34507,1192.81,3799379,170
zdtb1pxoru5l,17.31,8368,36012.67,5763037,3183
zcdt3vt8lo21,9.89,21105,1563.82,11137763,154
zcfnysw8463o,48.05,475355,1392.91,10002919,136
zc39ce13ot47,47.54,463128,6190.71,34133778,153
zb64w02ulcb4,14.66,53446,641.65,2560519,57
zawybt6yqncd,19.94,85224,4329.37,28045355,115
zbpj58el40tt,17.54,68462,10641.86,135110069,1264
zbbwvb4v32ab,62.74,1106401,12375.34,175487867,1008
zb6f0psxyend,9.59,5780,1961.77,2224132,374
zbvco5f1r0ho,54.99,288103,14025.11,73835646,612
zandhxi9qcej,19.54,82388,6959.92,36212978,1148
z8cxq7ijngsq,20.51,160626,396.43,2318883,17
z95ise1o06d8,51.83,575677,1385.59,9874085,133
zam0gilu3jbg,65.8,387887,1456.27,13105327,81
z8c4c1x6y7zl,59.73,351793,3082.67,21172580,279
z8t9j29eyuog,12.21,41293,2284.82,7258123,302
za2m18n346ct,9.88,3000,232.84,220798,30
z9toqop3r08t,117.7,1211836,138476.43,264345218,2178
za2kxbp11f1k,36.14,248683,602.19,4375001,54
z8bak7id180z,18.77,50067,5103.76,11291267,731
z8c3mmjszivi,35.21,235545,1788.11,12534703,184
z6htn0y4pp9v,29.86,369482,1454.57,13955822,77
z6v0vggnwe8c,20.1,52348,12486.84,15106527,501
z6ow793svax0,21.85,59354,2697.16,7526482,301
z5j7qeqcmgli,32.4,199518,6225.48,27336003,653
z4vk62ncxwjf,9.87,28295,645.79,1183249,94
z6ktzowpyplz,60.41,989798,7306.19,80454155,740
z6xf9b7i0vkq,13.61,8368,1384.98,2310865,344
z7x2gjzaqnic,57.16,749949,7995.99,92870859,527
z82y5icnn4wg,15.79,139263,34803.01,53980589,2186
z4mscqi7xfty,13.08,8743,8516.67,45723634,514
z4airii5l3jj,12.83,8368,829.52,1080487,157
z2cyefjcu9gv,46.64,179667,1098.38,5962160,60
z3g7ir9dquho,40.89,325356,584.06,3971758,23
z27vwhecb4zo,21.32,74062,7415.49,19269736,763
z26qj2fogy3k,39.15,294625,1564.64,11249473,154
z46evs0m1znw,57.94,778867,11860.7,162634841,1109
z2793lr5hde8,12.75,12791,1335.19,4225387,168
z2rc47rnyjam,6.32,26252,8228.73,31410706,1068
z2h1ybiynet4,45.8,242794,4260.33,30801535,133
z1tz88kscb4d,45.3,411703,4640.97,21351338,250
z0kugppgj71f,51.49,746851,1938.39,17881047,137
z08hta18o8ic,35.77,242643,6683.19,30716072,711
z0pa1nzibeon,38.5,209621,4339.8,31350688,233
z1m91m80o3xb,48.94,496784,4854.3,42573200,612
z09u0zjzyzqt,47.87,471044,1561.51,11299393,156
z0bappmk3j5z,9.97,15610,454.82,1061463,164
z0xxjwj0jy44,9.51,20150,725.25,1260409,88
z0dxt3elftqe,12.92,21027,943.95,1523918,232
yzwokle6hg7d,33.33,211371,6579.94,29376242,689
z07fzoknpojb,58.73,282960,3437.6,23877582,315
