username,payout,points,total_payout,total_points,total_wus,created_at
zzocr0figgxr,31.56,309374,4015.68,32248014,385,2021-06-27T07:31:43.470Z
zz4wz65z2t99,25.25,220907,7821.16,50637030,615,2021-04-12T16:59:51.926Z
zywzewm7w2ze,6.5,61206,2482.8,10021812,603,2021-04-27T20:29:11.251Z
zygzh5nmiubo,24.57,212967,2224.83,17206933,230,2021-06-27T02:12:40.735Z
zy7aovj18kfe,2.57,4940,1071.11,283447,135,2020-01-28T23:19:12.205Z
zztpmfdaobea,1.8,7411,155.42,178185,37,2021-06-28T08:15:02.569Z
zzdsm8io2oft,2.57,4940,258.66,116025,44,2021-04-20T03:06:02.787Z
zzw88jwyyzzk,35.58,747183,3044.9,42114239,1484,2021-07-08T17:57:08.783Z
zz37y9eetszr,95.18,960339,10102.88,128079672,647,2021-04-29T01:46:21.122Z
zzwvtryzltcr,4.45,6546,13020.72,131711314,1464,2021-04-18T23:31:21.811Z
zvw98npe0vjn,21.84,181009,1082.77,3074833,52,2021-03-13T10:46:48.345Z
zvvxd93jrvmn,24.3,209855,3020.66,24192113,283,2021-07-01T06:00:24.598Z
zxvtp9h7bs1v,9.96,67770,1465.96,4072888,213,2021-05-07T09:15:34.395Z
zvhe885vzhmg,12.06,84899,2026.54,16185050,155,2021-07-21T15:55:20.779Z
zx678fhm54hi,13.73,61652,10988.08,39470745,2133,2021-03-14T02:15:13.543Z
zx2goaar52cx,18.76,147813,4912.67,33290219,338,2021-05-16T18:49:22.145Z
zy1h3liskhwc,28.22,286323,9149.82,68490345,1036,2021-05-02T16:39:19.542Z
zx7rqklr7udl,3.39,20635,1522.09,3351828,229,2021-05-07T01:24:51.445Z
zvd6suegb6e5,39.25,440829,5476.57,53913972,201,2021-05-18T01:23:02.683Z
zwi0kddqankb,43.35,278485,5485.5,28745356,531,2021-04-19T10:46:17.809Z
zvbsnbn58w28,2.6,3310,719.25,413080,168,2021-05-18T18:01:23.346Z
ztqtp2u06v5i,9.68,65027,1696.62,6536525,428,2021-06-08T08:58:07.387Z
zuvj075autgb,4.77,31508,2460.11,11691130,268,2021-05-20T23:27:51.483Z
zutvnjhbgmer,26.92,243517,4530.1,35067744,406,2021-06-17T23:40:05.53Z
zt71u5pip8o6,19.34,153770,5495.71,26519071,514,2021-04-28T03:37:17.191Z
zu9b94t1jznz,2.58,7112,60.39,220939,8,2021-07-26T19:49:27.783Z
zt36uqzy4288,2.6,3310,684.53,324480,146,2021-03-10T16:01:31.220Z
ztdfc192304s,75.72,544007,24787.2,171209710,1668,2021-03-09T17:33:15.951Z
zsf0vzrfmqlo,19.28,153173,763.39,5015412,66,2021-06-20T16:33:03.914Z
zugd60dh8hfk,5.73,36275,5201.78,5385449,509,2020-11-04T05:07:47.254Z
zs602gmaxj09,17.5,74609,784.06,1181533,113,2021-06-18T22:12:32.444Z
zrr15v7mo6pn,18.3,143041,2997.57,19156232,195,2021-05-11T18:48:25.878Z
zs5oc32ut9t3,30.28,598090,3958.83,36360760,134,2021-06-13T18:09:37.435Z
zr7swvvsyut4,39.22,440275,4159.88,32797002,409,2021-06-27T07:27:34.761Z
zrjznqycqswv,42.55,716906,12727.74,201381857,1315,2021-05-13T10:10:27.852Z
zr43t1c7t6j9,26.5,237985,4042.95,32823788,402,2021-06-28T10:28:19.295Z
zs704nargz31,19.32,92256,21414.46,202828103,2406,2021-03-09T13:01:10.611Z
zqkluz8lb5d2,51.78,906069,12062.89,155014266,832,2021-04-20T10:38:31.258Z
zqx8tjdo84gi,33.03,331275,8377.76,35462228,1239,2021-03-08T15:13:09.960Z
zsat3l1clonf,5.09,57363,167092.84,90015442,4111,2019-04-14T21:13:48.67Z
zn9jl54cfrv1,38.59,428408,4085.49,32072269,401,2021-06-17T02:48:43.943Z
znjs4dp9e4vm,2.57,4940,1504.7,3577520,219,2021-05-12T19:26:47.177Z
zqd4uo1f0wda,10.86,38287,1255.68,2605486,227,2021-06-17T12:53:39.770Z
zoes7qjmf2wz,46.81,418363,11252.18,140071730,922,2021-05-21T04:13:04.508Z
zoyp8i4yyhy7,21.83,85435,4035.12,14022567,484,2021-04-30T14:19:41.560Z
zmmhcer3bclp,7.16,46630,3114.54,24162890,452,2021-05-11T03:32:49.824Z
zobkz7s63azn,1.54,26649,14113.32,16566713,593,2019-07-14T03:20:05.432Z
zndju9el7xr2,85.91,1425362,22071.17,404294635,2777,2021-04-24T04:24:33.793Z
zn0het1kailu,43.11,272818,5260.83,31348205,484,2021-03-27T15:16:36.28Z
zneevolqriwn,35.35,347561,9829.35,59298219,503,2020-02-12T17:34:26.335Z
zl4zgnhe4vqp,4.67,29205,793.77,2710116,115,2021-05-16T17:02:21.857Z
zm2drgu8t7id,30.62,295260,3919.14,31406944,368,2021-06-28T10:29:30.493Z
zmg99isfipib,53.62,784494,27860.8,166465433,1309,2021-02-18T11:58:28.22Z
zkxnsdiwget5,27.3,248617,2758.21,17987524,458,2021-05-29T19:12:28.818Z
zl79hpt4rkyk,26.19,233942,23883.11,314279949,2314,2021-03-17T20:36:34.549Z
zm62l621q7du,31.6,309999,8334.63,53935722,704,2021-04-19T00:57:20.185Z
ziyqp7gg32qe,49.29,301018,6264.22,38494988,484,2021-06-16T04:41:34.988Z
zkrwbodiz7h5,44.27,251190,7437.97,60465001,615,2021-05-06T19:22:15.135Z
zmg05cpliaob,6.19,24502,2142.67,6108980,503,2021-03-04T16:51:54.525Z
ziz0x96wkeh6,24.38,112320,14868.4,98278278,734,2021-02-19T07:39:09.95Z
zgi1cokedbg0,25.43,223863,2383.12,18107004,219,2021-06-27T02:13:38.983Z
zix2y9ff6vnm,1.68,6299,433.7,195321,70,2021-05-26T15:03:57.511Z
zhv9f1995nji,2.83,18025,2570.09,11754990,413,2021-05-17T18:24:22.3Z
zgyq9h1nwfau,4.13,25564,2545.11,4778479,387,2021-01-19T22:41:22.625Z
zhpor3vjn6b1,55.91,854264,23839.48,261052576,1328,2021-03-18T17:25:09.938Z
zgmnjd8i0qu4,29.16,273177,2180.24,14581550,81,2021-05-28T03:03:45.413Z
zhuvrt7r7jmy,34.18,230022,67188.43,104946039,2831,2020-03-31T23:05:11.61Z
zhm0efn3lkjd,5.33,3310,67521.8,15376120,10226,2019-04-12T15:35:11.754Z
zg58ldxeyfik,13.63,58985,1960.4,2991020,452,2021-05-13T04:38:48.950Z
zg7i9zi8she7,2.61,10862,3837.76,19628919,352,2021-05-06T15:38:14.98Z
zep9bvsx0v1n,36.8,394844,2246.82,17274839,231,2021-06-27T02:11:12.94Z
zdrzpdn3foq9,51.87,733757,9469.33,153876900,678,2021-05-17T22:06:03.686Z
zdz2ax3x2wbk,2.58,5780,2955.43,7291447,483,2021-04-08T11:03:11.746Z
ze9tnl0nks84,1.52,7370,1158.96,1533993,214,2021-04-12T11:15:23.233Z
zedndrjuxdia,33.02,331197,3860.9,30799566,376,2021-06-27T07:28:41.128Z
ze7xi77ingmq,4.45,27734,1891.22,6425229,311,2021-06-02T03:27:31.34Z
zewo9i1pmkt5,4.65,3310,6194.37,2681253,517,2020-05-02T17:45:21.0Z
zdtb1pxoru5l,4.32,8368,36711.69,6222011,3264,2019-08-30T15:26:57.906Z
zdf9tta1f3ns,57.34,371176,10932.63,110357208,556,2021-05-16T08:07:26.622Z
zdg1mws4nv7w,41.53,485822,7726.46,78931342,469,2021-05-22T01:30:10.176Z
zcjpcoxcby4c,24.3,209814,3393.58,26730728,112,2021-05-18T01:21:38.906Z
zcdt3vt8lo21,26.89,243108,4053.12,32036731,390,2021-06-23T14:57:27.240Z
zc672eraszr2,2.8,25071,2115.26,12139611,408,2021-06-05T05:05:20.922Z
zd0fg5w5ldk6,33.64,341666,3482.15,28470993,337,2021-06-23T14:58:56.982Z
zcirypzw461v,24.73,214823,4124.94,33287900,402,2021-06-27T15:01:57.965Z
zbvco5f1r0ho,76.65,588345,19197.9,114192999,822,2021-02-22T21:21:34.763Z
zc39ce13ot47,34.5,356127,7739.02,48696542,199,2021-04-04T05:12:53.252Z
zbpj58el40tt,6.55,26575,11808.85,145277823,1399,2021-04-17T06:13:20.385Z
zbbwvb4v32ab,25.21,220409,15396.53,212857177,1250,2021-04-25T03:51:50.889Z
z9x4tmtieuy0,10.99,76174,991.89,5615192,202,2021-07-21T17:23:47.317Z
za2kxbp11f1k,42.96,516111,920.62,7128098,81,2021-07-06T03:02:09.351Z
zag8irbdwxnj,4.67,29205,67.79,273293,8,2021-07-26T19:53:42.775Z
zam0gilu3jbg,75.79,502939,6536.62,49002784,300,2021-07-02T01:16:08.519Z
zb64w02ulcb4,15.03,111270,1771.38,8963456,175,2021-05-13T15:59:50.10Z
zandhxi9qcej,9.2,61579,8775.19,48608366,1557,2021-04-03T00:07:35.457Z
z9waj0uy9sac,14.33,104878,615.51,2744327,113,2021-05-03T19:43:23.605Z
zawybt6yqncd,33.67,342161,5711.27,40598009,158,2021-04-10T14:44:20.507Z
zahin334nzmr,2.03,21338,2472.13,5108342,379,2021-02-15T18:55:23.288Z
z9toqop3r08t,57.62,259290,145929.87,322778826,2457,2019-04-12T14:25:41.510Z
z9a8677gb9zh,17.35,133271,53.11,417116,13,2021-07-06T03:06:01.575Z
z8ymisj0bdgv,35.75,377190,1244.86,10507391,47,2021-07-15T02:11:26.39Z
z99cd8gqe1lr,2.58,4040,18.22,37440,11,2021-08-17T21:40:27.922Z
z81enhktdwei,1.83,6173,341.75,194352,59,2021-05-28T14:53:45.680Z
z95ise1o06d8,39.03,436809,3737.67,29718144,354,2021-06-27T07:25:09.781Z
z8c3mmjszivi,31.54,309125,2784.43,22020989,300,2021-06-22T09:57:47.291Z
z888fuy9j2z8,32.34,320958,3743.65,24737190,300,2021-05-19T00:09:41.211Z
z8t9j29eyuog,4.83,30267,3112.7,10857640,532,2021-05-07T16:24:37.28Z
z7x15trz7h06,16.12,121279,901.81,4290936,166,2021-05-08T08:10:41.442Z
z7x2gjzaqnic,61.04,985821,12165.91,148722727,817,2021-05-11T15:02:16.254Z
z4dtc2id8vy6,4.32,15933,2589.6,18560848,287,2021-05-18T16:19:25.927Z
z5j7qeqcmgli,25.52,224989,7179.49,34851364,842,2021-04-03T03:17:11.926Z
z6ow793svax0,8.73,31316,3913.19,11080223,423,2021-02-24T17:19:37.844Z
z4mscqi7xfty,3.88,4777,8739.28,45905031,539,2021-02-24T20:44:02.320Z
z4bhv2ahx6nz,15.25,113265,1813.8,6504835,200,2021-04-15T21:21:17.938Z
z4imvneiqb1d,2.6,8368,1348.66,1412384,222,2021-05-18T17:57:58.800Z
z6xf9b7i0vkq,3.25,3310,1921.43,2712223,433,2021-05-03T09:39:19.734Z
z440atmwg7uy,18.06,174122,4530.02,37181883,419,2021-05-10T23:02:26.589Z
z605n1d3k3dy,31.67,236595,18959.15,144498930,1465,2021-03-26T12:36:10.696Z
z3hptokw8t4o,2.6,8368,592.79,2611042,81,2021-07-05T14:26:37.992Z
z15fgb666d1j,7.0,45461,52.74,438411,10,2021-07-06T03:03:38.865Z
z1hl1pdaan3w,6.24,39700,68.19,192994,9,2021-07-26T19:39:49.921Z
z0bappmk3j5z,4.06,25104,1017.38,2759847,434,2021-06-23T14:07:44.113Z
z26qj2fogy3k,26.2,234037,4029.36,32474617,401,2021-06-27T14:56:47.5Z
z0j48zx185na,29.91,284697,3932.48,30911174,415,2021-06-11T09:15:00.477Z
z09u0zjzyzqt,25.3,222115,2311.09,17336338,230,2021-06-27T02:13:53.941Z
z2h1ybiynet4,36.76,206599,7852.36,52049033,220,2021-05-16T18:23:49.53Z
z1m91m80o3xb,32.48,323141,8534.64,86387908,1381,2021-05-27T02:54:35.830Z
z0dxt3elftqe,4.5,7596,1694.56,2988852,396,2021-05-22T21:38:51.979Z
z08hta18o8ic,17.06,245749,7440.23,38226841,895,2021-04-03T03:34:20.567Z
yzwokle6hg7d,25.72,227691,7502.19,36759132,864,2021-04-03T03:35:02.125Z
yyzaoe70b5rj,4.32,8368,977.99,711240,124,2021-04-23T11:33:33.820Z
yzqxzkl0ip8m,7.93,41033,4088.2,18165968,481,2021-05-16T11:54:26.655Z
yzg9tygzrvn3,4.44,27623,4582.85,11175027,553,2021-03-19T14:22:48.291Z
yy3jb335kjrc,22.34,99965,16338.91,121131321,1705,2021-02-26T10:49:34.938Z
yxxoyrwl7hh1,2.77,16736,1675.32,3620715,573,2021-05-22T17:52:44.374Z
ywzh2fkjq2wa,31.03,301385,812.6,7372089,111,2021-07-06T03:02:47.682Z
yyy5v4rkgc65,3.36,20400,2379.49,2501120,318,2021-03-15T16:23:34.270Z
ywka5iikfdyd,1.67,3992,229.17,156451,41,2021-06-12T03:58:17.982Z
yxpnsqax3eh5,35.61,374899,8733.15,54390670,1227,2021-04-20T14:09:31.521Z
yw4f1qtux9q2,40.26,460070,2183.56,16415689,200,2021-06-27T02:18:06.413Z
yvptf4mdpusg,25.19,390047,3624.24,79526661,512,2021-07-20T02:31:01.850Z
yvfjc0a6ohht,9.3,39700,1145.79,2515563,137,2021-05-06T02:03:55.116Z
yvgncq0victl,22.06,183660,589.28,4903415,161,2021-08-10T10:27:27.754Z
yvqdzn2aff7t,4.02,24853,6861.11,22650304,512,2021-02-26T21:44:47.9Z
ywiokordmuej,4.04,7082,1181.76,682969,137,2021-03-31T08:08:00.770Z
yw5uw2im99og,23.44,199810,4574.47,26453411,419,2021-05-16T02:40:15.475Z
yume2r71tz1f,4.45,8368,8802.07,81955113,947,2021-05-07T19:36:56.193Z
yuh204jepvr5,37.69,277759,19030.53,117042140,939,2021-03-09T11:39:11.825Z
yu81i6a54dky,45.51,572548,10807.81,221902729,1263,2021-06-01T23:59:46.602Z
yspq9ciev7n4,11.56,80817,2580.71,20724160,84,2021-05-28T14:36:48.719Z
ytpjsbx6pnyv,2.6,5822,127.94,162035,33,2021-07-31T12:17:26.891Z
ytzgoo7rrjcw,29.74,129256,10225.61,95581603,1087,2021-05-17T17:22:00.522Z
ytl8szo7vd5s,17.01,129403,4334.9,34561995,405,2021-06-23T14:54:39.718Z
ysjsoqoj36am,16.83,224860,7361.46,37446875,858,2021-04-03T03:34:28.31Z
