username,payout,points,total_payout,total_points,total_wus,created_at
zzocr0figgxr,44.58,396700,2231.05,16704019,211,2021-06-27T07:31:43.470Z
zzw88jwyyzzk,33.37,250727,931.55,5633436,333,2021-07-08T17:57:08.783Z
zywhpi9dit4p,15.03,28376,530.82,1499981,77,2021-07-05T15:42:19.495Z
zznkv6xpbh28,9.59,6580,838.19,618722,106,2021-05-26T16:34:24.28Z
zz37y9eetszr,87.05,701809,5609.88,80113270,426,2021-04-29T01:46:21.122Z
zz7h9zzjss84,37.61,136900,4642.98,26790302,138,2021-04-24T18:10:24.500Z
zyvc2nodo068,9.69,12939,2384.02,15055612,93,2021-05-16T03:47:33.431Z
zywzewm7w2ze,21.51,208368,1955.94,6235449,401,2021-04-27T20:29:11.251Z
zygq34v9tv10,12.91,19408,1408.29,2473360,374,2021-05-15T19:36:27.387Z
zzwvtryzltcr,91.7,1005167,11299.22,120522751,1213,2021-04-18T23:31:21.811Z
zx2zkzcak5j4,43.73,196400,838.28,5503607,42,2021-07-15T20:29:18.369Z
zy7aovj18kfe,9.82,3310,950.39,201157,107,2020-01-28T23:19:12.205Z
zxrlilz6xrj8,54.83,668214,7005.47,66006857,552,2021-04-20T00:50:21.375Z
zx7rqklr7udl,9.78,17310,1176.59,2366962,152,2021-05-07T01:24:51.445Z
zy1h3liskhwc,41.42,277035,6895.3,48676292,741,2021-05-02T16:39:19.542Z
zxvtp9h7bs1v,9.79,3310,1109.45,2892208,143,2021-05-07T09:15:34.395Z
zx678fhm54hi,45.51,165619,9427.2,33404379,2023,2021-03-14T02:15:13.543Z
zwicd3dot5zw,6.23,3600,9320.35,33640651,693,2021-03-15T15:56:43.73Z
zx8vr0pnlejw,34.16,222050,3441.71,23838962,630,2021-06-07T04:08:33.802Z
zwi0kddqankb,34.13,200819,3646.81,18581950,373,2021-04-19T10:46:17.809Z
zvbcy5s1kpvc,54.31,253368,3794.5,24841456,321,2021-06-07T15:02:30.423Z
zuvj075autgb,11.57,21313,2054.13,10474205,197,2021-05-20T23:27:51.483Z
zvhe885vzhmg,35.15,234758,192.3,1314924,16,2021-07-21T15:55:20.779Z
zvqgsybh8mw8,9.95,22557,1534.43,4580855,157,2021-04-15T19:21:55.678Z
zuqlioce7w3f,44.15,1124068,1615.68,14667677,58,2021-06-03T00:37:54.409Z
zvp5igcak8i7,29.45,233515,4303.45,27662092,118,2021-05-04T13:40:48.137Z
zwc0eu8xj928,35.51,239392,7740.63,43415565,633,2021-04-16T01:34:57.910Z
zvfj9fj2pils,4.95,31201,4828.59,23173663,821,2021-03-14T00:45:04.778Z
zvd6suegb6e5,27.11,142300,4776.66,47221439,171,2021-05-18T01:23:02.683Z
zutvnjhbgmer,44.62,397483,2599.43,18459590,220,2021-06-17T23:40:05.53Z
ztmlhktx2pxv,18.58,75172,1124.61,3654232,114,2021-06-06T11:03:02.301Z
zt1yajaxbgce,24.81,122350,171.54,932735,13,2021-07-16T14:22:26.977Z
zuml5nd9tm1r,17.72,70400,1923.12,12622462,300,2021-05-07T09:54:04.597Z
zsnl4mu0s6ci,50.79,284363,4018.39,23988378,137,2021-05-20T15:10:37.578Z
zt71u5pip8o6,9.58,12453,4665.24,20596297,399,2021-04-28T03:37:17.191Z
ztdfc192304s,65.71,561991,20495.82,139042565,1383,2021-03-09T17:33:15.951Z
ztjx868nsae8,8.55,113053,14109.3,44053858,554,2021-02-07T18:58:00.221Z
ztqtp2u06v5i,11.74,39272,900.37,2308285,207,2021-06-08T08:58:07.387Z
zs704nargz31,28.83,87730,17964.31,165378121,1993,2021-03-09T13:01:10.611Z
zsat3l1clonf,7.14,42675,166799.5,87705663,3986,2019-04-14T21:13:48.67Z
zs602gmaxj09,14.42,5652,462.76,761862,64,2021-06-18T22:12:32.444Z
zrswz6b1b1g1,52.6,250705,2428.4,15982000,223,2021-06-17T02:46:47.499Z
zr43t1c7t6j9,45.0,405567,1945.57,14622049,178,2021-06-28T10:28:19.295Z
zrh3e31l8hbl,53.59,249748,4229.09,28018316,341,2021-06-04T02:34:31.442Z
zr7swvvsyut4,36.5,254162,2149.88,15579971,205,2021-06-27T07:27:34.761Z
zs5oc32ut9t3,37.72,272724,2953.61,25895740,92,2021-06-13T18:09:37.435Z
zs67ib7h3bon,9.72,18291,729.21,1556930,110,2021-06-04T05:18:12.209Z
zqx8tjdo84gi,27.73,147695,7484.68,28624734,1148,2021-03-08T15:13:09.960Z
zqkluz8lb5d2,69.45,963884,8915.93,109585481,587,2021-04-20T10:38:31.258Z
zrjznqycqswv,57.3,1081403,9818.51,144379660,955,2021-05-13T10:10:27.852Z
zp2jrib36uob,28.26,128101,3037.59,13617506,265,2021-05-13T15:13:19.738Z
zp73qs4w279x,80.5,642997,3206.06,29479424,259,2021-06-11T02:20:10.509Z
znkh7l04k3yy,59.05,307529,3992.74,26633417,335,2021-06-04T02:39:48.911Z
zoe5g2sa7vsk,9.87,6329,185.5,110242,27,2021-06-22T19:08:20.872Z
zoe9i8wmmxg7,44.74,400114,7421.48,43216045,198,2021-04-19T13:31:51.275Z
zoes7qjmf2wz,53.16,289373,7880.33,100871580,664,2021-05-21T04:13:04.508Z
znm19tpld6vn,5.42,5500,1012.15,489271,198,2021-02-25T17:25:54.524Z
zobkz7s63azn,16.3,341370,13858.33,12388615,532,2019-07-14T03:20:05.432Z
zncvvgadqdjf,60.42,393456,3845.35,25355712,309,2021-06-04T02:34:21.332Z
zndju9el7xr2,94.38,1925504,16903.8,313247799,2142,2021-04-24T04:24:33.793Z
zlsv3oy8ygdd,35.46,140178,4069.0,26345232,335,2021-06-04T02:37:18.640Z
zm2drgu8t7id,36.56,255149,1877.95,13959953,170,2021-06-28T10:29:30.493Z
zm611g7svmw8,9.82,3939,184.67,40332,33,2021-05-28T14:55:04.935Z
zlndso2soihp,9.9,8368,68.4,46479,12,2021-06-27T00:28:25.227Z
zm62l621q7du,31.4,187215,6332.61,37079966,516,2021-04-19T00:57:20.185Z
zn9jl54cfrv1,45.07,406964,2000.88,14023201,196,2021-06-17T02:48:43.943Z
zmg05cpliaob,9.95,11808,1586.53,4485073,378,2021-03-04T16:51:54.525Z
zmmhcer3bclp,13.47,46803,2496.2,21326995,310,2021-05-11T03:32:49.824Z
znbznb8k858l,34.85,2012885,22789.14,352064357,2349,2021-02-03T09:35:32.510Z
zkxnsdiwget5,35.45,238537,2364.02,14637739,396,2021-05-29T19:12:28.818Z
zi0ki9b0f60j,40.97,431494,819.38,5828214,28,2021-06-02T11:55:52.626Z
