username,payout,points,total_payout,total_points,total_wus,created_at
zznkv6xpbh28,9.8,7545,945.62,727994,120,2021-05-26T16:34:24.28Z
zz37y9eetszr,49.58,228593,6539.74,89620799,474,2021-04-29T01:46:21.122Z
zywzewm7w2ze,10.61,62706,2136.38,7237518,458,2021-04-27T20:29:11.251Z
zyvc2nodo068,53.8,635878,2749.1,17925214,107,2021-05-16T03:47:33.431Z
zzw88jwyyzzk,24.22,145831,1429.57,9776282,578,2021-07-08T17:57:08.783Z
zywhpi9dit4p,13.27,26359,785.45,2055940,113,2021-07-05T15:42:19.495Z
zzj7fmzx6fbd,19.92,160309,1673.82,13381480,65,2021-06-18T02:29:42.8Z
zz7h9zzjss84,42.55,200536,5101.48,29020677,148,2021-04-24T18:10:24.500Z
zzocr0figgxr,35.39,237781,2853.84,21506850,266,2021-06-27T07:31:43.470Z
zzwvtryzltcr,39.94,172686,12195.13,128223859,1330,2021-04-18T23:31:21.811Z
zy7aovj18kfe,9.79,3310,999.09,222647,114,2020-01-28T23:19:12.205Z
zxjbs6ukzphb,5.03,4040,817.86,2720163,144,2021-02-15T07:11:05.680Z
zygq34v9tv10,12.45,11368,1632.85,2645280,415,2021-05-15T19:36:27.387Z
zx7rqklr7udl,9.66,19306,1322.53,2634407,178,2021-05-07T01:24:51.445Z
zy1h3liskhwc,39.67,303341,7555.14,53579573,824,2021-05-02T16:39:19.542Z
zx678fhm54hi,39.0,165176,9869.5,34798755,2050,2021-03-14T02:15:13.543Z
zyogvakst4yg,9.63,54338,3202.41,13854574,472,2021-04-20T20:14:13.85Z
zx8vr0pnlejw,17.97,71810,3831.15,26012280,689,2021-06-07T04:08:33.802Z
zxrlilz6xrj8,51.3,560965,7627.59,72767382,610,2021-04-20T00:50:21.375Z
zx2goaar52cx,31.93,192836,4204.06,27367570,284,2021-05-16T18:49:22.145Z
zwoabh5u1qyj,35.06,110229,1886.45,7057540,120,2021-05-09T02:54:13.152Z
zvhe885vzhmg,41.16,330259,745.24,5293820,54,2021-07-21T15:55:20.779Z
zwi0kddqankb,32.11,158243,4084.61,20882746,412,2021-04-19T10:46:17.809Z
zvp5igcak8i7,31.51,232999,4629.39,30363308,129,2021-05-04T13:40:48.137Z
zvfj9fj2pils,4.1,9151,4909.3,23637605,853,2021-03-14T00:45:04.778Z
zvvxd93jrvmn,36.3,251127,1851.0,13415724,154,2021-07-01T06:00:24.598Z
zvqgsybh8mw8,9.56,24259,1689.29,4978342,180,2021-04-15T19:21:55.678Z
zvq1p3nj21wb,24.12,95420,3780.16,16941441,207,2021-05-06T19:20:02.423Z
zvbsnbn58w28,9.67,4040,549.53,227430,109,2021-05-18T18:01:23.346Z
zvbcy5s1kpvc,57.28,268445,4677.3,29926192,375,2021-06-07T15:02:30.423Z
zuqlioce7w3f,20.47,173521,2049.18,22384893,82,2021-06-03T00:37:54.409Z
zuug2ez19p0r,32.84,464496,1664.9,14622165,61,2021-06-12T01:27:38.508Z
zu9b94t1jznz,9.64,29205,55.23,206715,6,2021-07-26T19:49:27.783Z
zuo7rmu3bt1v,14.74,85077,1627.57,13785111,61,2021-06-15T02:06:38.889Z
ztmlhktx2pxv,19.82,84390,1357.55,4633476,136,2021-06-06T11:03:02.301Z
zuvj075autgb,10.74,21832,2218.97,10788654,219,2021-05-20T23:27:51.483Z
zugd60dh8hfk,9.82,8944,4934.89,4235764,449,2020-11-04T05:07:47.254Z
zutvnjhbgmer,21.46,95809,3179.2,23008636,275,2021-06-17T23:40:05.53Z
zu9byvltluk1,9.86,5641,3316.58,5683411,327,2021-03-08T13:49:31.174Z
ztqtp2u06v5i,18.17,72923,1071.08,2880178,248,2021-06-08T08:58:07.387Z
zsfjb716u4a6,14.77,8146,1118.12,684708,129,2021-05-08T09:06:30.488Z
zstlpord3l9k,13.69,65554,836.01,2923364,63,2021-04-27T15:43:54.645Z
zs602gmaxj09,12.71,5760,585.24,866149,75,2021-06-18T22:12:32.444Z
zs704nargz31,85.06,1198320,19228.09,180640349,2152,2021-03-09T13:01:10.611Z
zsf0vzrfmqlo,9.53,10225,266.65,1663821,23,2021-06-20T16:33:03.914Z
zti5i2spekxd,43.58,375785,262.99,1632564,13,2021-07-10T20:33:09.548Z
ztjx868nsae8,4.72,45180,14225.89,46320891,575,2021-02-07T18:58:00.221Z
zsat3l1clonf,8.0,59131,166897.22,88282721,4025,2019-04-14T21:13:48.67Z
ztdfc192304s,64.88,467152,21639.56,147506578,1464,2021-03-09T17:33:15.951Z
zs67ib7h3bon,10.31,33041,865.93,1792627,130,2021-06-04T05:18:12.209Z
zr7swvvsyut4,40.61,320207,2775.65,20397736,264,2021-06-27T07:27:34.761Z
zr43t1c7t6j9,44.62,397504,2566.56,19473546,237,2021-06-28T10:28:19.295Z
zrswz6b1b1g1,63.61,357673,3343.78,21097309,282,2021-06-17T02:46:47.499Z
zrjznqycqswv,47.49,1051880,10640.38,159819081,1053,2021-05-13T10:10:27.852Z
zqkluz8lb5d2,63.15,877789,9845.49,121909344,656,2021-04-20T10:38:31.258Z
zrh3e31l8hbl,49.61,257985,5154.89,33079038,393,2021-06-04T02:34:31.442Z
zrskn1gw459l,9.82,3310,417.47,524972,77,2021-05-18T11:03:31.426Z
zs5oc32ut9t3,33.2,209814,3289.97,28696648,104,2021-06-13T18:09:37.435Z
zqx8tjdo84gi,10.46,45234,7691.88,29963948,1173,2021-03-08T15:13:09.960Z
zqvv0hik1zxj,42.32,351074,239.95,1311678,13,2021-07-10T20:10:59.289Z
znjuzb4uy2v8,22.69,205686,1380.61,11238170,62,2021-06-12T00:41:01.853Z
znkh7l04k3yy,63.4,404818,4488.3,29249907,365,2021-06-04T02:39:48.911Z
zqd4uo1f0wda,15.02,10335,844.0,1544893,150,2021-06-17T12:53:39.770Z
znjs4dp9e4vm,9.86,3000,1409.46,3463089,179,2021-05-12T19:26:47.177Z
zoe9i8wmmxg7,44.72,399640,8041.92,48450131,213,2021-04-19T13:31:51.275Z
zniqd147a267,14.22,6014,1279.73,2655957,134,2021-05-07T18:22:07.82Z
zneevolqriwn,46.98,337595,8551.24,46628335,413,2020-02-12T17:34:26.335Z
zpudbxx1r582,31.75,361621,1808.07,12325066,72,2021-06-11T23:05:16.752Z
zp2jrib36uob,14.93,19797,3244.8,14350306,279,2021-05-13T15:13:19.738Z
zoes7qjmf2wz,77.81,722362,8723.71,110081987,727,2021-05-21T04:13:04.508Z
zn9jl54cfrv1,44.05,385585,2622.04,18870670,249,2021-06-17T02:48:43.943Z
zm7drhrepa8o,14.91,6977,821.81,644737,203,2021-05-13T17:02:41.807Z
zmmhcer3bclp,15.51,58188,2708.05,22070131,354,2021-05-11T03:32:49.824Z
