username,payout,points,total_payout,total_points,total_wus,created_at
zzocr0figgxr,49.02,597533,3508.74,27466706,338,2021-06-27T07:31:43.470Z
zzw88jwyyzzk,30.68,488114,2427.94,27864395,1135,2021-07-08T17:57:08.783Z
zz7xblz5vh75,30.85,409163,1680.73,13705359,69,2021-06-15T03:08:24.875Z
zzj7fmzx6fbd,24.45,294511,1974.15,16933203,80,2021-06-18T02:29:42.8Z
zznkv6xpbh28,2.62,7205,1077.55,923664,143,2021-05-26T16:34:24.28Z
zz7h9zzjss84,107.8,1038455,5914.49,33677769,171,2021-04-24T18:10:24.500Z
zz37y9eetszr,138.14,2132687,8868.06,116521994,592,2021-04-29T01:46:21.122Z
zywzewm7w2ze,1.61,14878,2400.67,9234385,557,2021-04-27T20:29:11.251Z
zz4wz65z2t99,26.75,223573,7333.45,46184669,583,2021-04-12T16:59:51.926Z
zzmxnychvwgx,33.09,660428,101573.67,110956923,1124,2019-05-30T12:57:08.542Z
zywhpi9dit4p,7.68,26828,1147.5,3083452,165,2021-07-05T15:42:19.495Z
zygzh5nmiubo,45.63,524355,1723.03,12547749,176,2021-06-27T02:12:40.735Z
zxvtp9h7bs1v,8.54,53612,1402.51,3706971,196,2021-05-07T09:15:34.395Z
zy1h3liskhwc,48.9,562972,8620.39,63284197,970,2021-05-02T16:39:19.542Z
zx8vr0pnlejw,2.61,7200,4072.5,26984189,744,2021-06-07T04:08:33.802Z
zxnnvf58tqdp,57.33,671045,5452.27,34473149,1222,2021-05-07T10:33:03.284Z
zyvc2nodo068,29.07,252778,3273.87,22006601,129,2021-05-16T03:47:33.431Z
zx2goaar52cx,31.43,283904,4691.49,31321870,318,2021-05-16T18:49:22.145Z
zygq34v9tv10,4.12,11368,1911.56,3070626,484,2021-05-15T19:36:27.387Z
zx678fhm54hi,42.27,190980,10627.49,37873562,2104,2021-03-14T02:15:13.543Z
zwxeh9vufha6,2.62,7608,89.83,198478,26,2021-08-01T08:21:22.16Z
zvyq48fcvwuf,2.68,6310,13.13,24840,9,2021-08-08T08:38:40.43Z
zwa9a67wrjcy,25.02,203589,1533.61,6684583,220,2021-04-29T08:13:25.203Z
zvvxd93jrvmn,50.17,623278,2527.08,19577585,233,2021-07-01T06:00:24.598Z
zvhe885vzhmg,32.13,293852,1636.29,12678626,125,2021-07-21T15:55:20.779Z
zwi0kddqankb,42.44,268460,4962.92,25883539,490,2021-04-19T10:46:17.809Z
zvd6suegb6e5,43.66,484660,5132.3,50578097,184,2021-05-18T01:23:02.683Z
zvqgsybh8mw8,4.54,26798,1897.02,5804117,226,2021-04-15T19:21:55.678Z
zvp5igcak8i7,21.36,319159,4931.18,33101884,145,2021-05-04T13:40:48.137Z
zvfj9fj2pils,4.5,67634,5067.34,25369693,928,2021-03-14T00:45:04.778Z
zuml5nd9tm1r,30.09,265615,2162.81,14771815,328,2021-05-07T09:54:04.597Z
zuug2ez19p0r,37.86,682370,2014.5,19045386,78,2021-06-12T01:27:38.508Z
zutvnjhbgmer,40.56,427341,4127.63,31410955,366,2021-06-17T23:40:05.53Z
zvbsnbn58w28,2.57,5470,685.33,347460,147,2021-05-18T18:01:23.346Z
ztr0nwbe0spn,12.16,80738,309.0,429896,43,2021-05-10T21:30:08.344Z
zuvj075autgb,3.66,21790,2402.91,11357444,253,2021-05-20T23:27:51.483Z
zvcbqsz5959t,26.97,226359,5379.48,34992980,568,2021-05-12T22:28:39.865Z
zu32zceoknbi,3.78,21840,876.02,941262,112,2021-02-13T20:25:45.620Z
zu9byvltluk1,10.62,68850,3503.2,6463054,352,2021-03-08T13:49:31.174Z
zugd60dh8hfk,4.14,24243,5123.13,4924107,486,2020-11-04T05:07:47.254Z
