username,payout,points,total_payout,total_points,total_wus,created_at
zzocr0figgxr,40.47,425820,3252.5,24921339,304,2021-06-27T07:31:43.470Z
zzw88jwyyzzk,40.61,880479,2022.58,18529161,853,2021-07-08T17:57:08.783Z
zywzewm7w2ze,8.92,100940,2347.14,8690051,520,2021-04-27T20:29:11.251Z
zywhpi9dit4p,9.59,37746,1046.08,2694735,144,2021-07-05T15:42:19.495Z
zzmlysr4v1eb,1.52,5780,163.8,80810,27,2021-07-14T02:08:54.236Z
zztpmfdaobea,1.6,5981,134.95,105383,25,2021-06-28T08:15:02.569Z
zz37y9eetszr,112.77,1247432,7825.6,104694559,541,2021-04-29T01:46:21.122Z
zz7h9zzjss84,38.25,187980,5590.14,31638720,161,2021-04-24T18:10:24.500Z
zznkv6xpbh28,2.69,9106,1051.46,841788,133,2021-05-26T16:34:24.28Z
zzwvtryzltcr,33.3,167614,12909.29,131471013,1441,2021-04-18T23:31:21.811Z
zyvc2nodo068,34.25,323941,3120.73,20760410,122,2021-05-16T03:47:33.431Z
zy1h3liskhwc,30.09,247611,8269.52,59707786,917,2021-05-02T16:39:19.542Z
zx8vr0pnlejw,9.24,58440,4032.5,26796925,716,2021-06-07T04:08:33.802Z
zxnnvf58tqdp,41.3,419019,5251.37,32529718,1201,2021-05-07T10:33:03.284Z
zxvtp9h7bs1v,2.6,8368,1376.57,3578735,186,2021-05-07T09:15:34.395Z
zygq34v9tv10,4.05,11368,1839.85,2828126,447,2021-05-15T19:36:27.387Z
zx678fhm54hi,33.2,146802,10365.78,36650665,2084,2021-03-14T02:15:13.543Z
zx2goaar52cx,21.32,163260,4550.89,30132562,306,2021-05-16T18:49:22.145Z
zx7rqklr7udl,5.38,32164,1454.39,2970243,204,2021-05-07T01:24:51.445Z
zyogvakst4yg,7.17,76138,3347.41,14935970,505,2021-04-20T20:14:13.85Z
zvhe885vzhmg,28.1,240557,1322.5,9690764,96,2021-07-21T15:55:20.779Z
zvfj9fj2pils,4.28,53689,4997.41,24264510,886,2021-03-14T00:45:04.778Z
zvvxd93jrvmn,34.72,330592,2210.6,16474439,191,2021-07-01T06:00:24.598Z
zvqgsybh8mw8,5.79,34725,1846.22,5493269,210,2021-04-15T19:21:55.678Z
zwxeh9vufha6,6.33,38181,64.54,73089,13,2021-08-01T08:21:22.16Z
zvw98npe0vjn,8.66,54400,1028.95,2677366,48,2021-03-13T10:46:48.345Z
zvbsnbn58w28,2.6,3310,662.02,300550,132,2021-05-18T18:01:23.346Z
zwi0kddqankb,23.39,102422,4636.72,24013978,459,2021-04-19T10:46:17.809Z
zvcbqsz5959t,27.64,234767,5179.93,33252503,535,2021-05-12T22:28:39.865Z
zv3l5j2ixcxa,2.74,15718,473.73,378589,66,2021-05-07T13:23:59.243Z
zuug2ez19p0r,39.59,723600,1880.59,16971234,70,2021-06-12T01:27:38.508Z
zuo7rmu3bt1v,18.61,208822,1949.63,17192179,75,2021-06-15T02:06:38.889Z
zu9byvltluk1,2.57,7073,3451.06,6173998,341,2021-03-08T13:49:31.174Z
zuvj075autgb,3.32,19125,2366.5,11148943,240,2021-05-20T23:27:51.483Z
