username,payout,points,total_payout,total_points,total_wus,created_at
zzw88jwyyzzk,36.34,746682,2937.42,39456882,1424,2021-07-08T17:57:08.783Z
zygzh5nmiubo,34.75,331064,2146.17,16503478,221,2021-06-27T02:12:40.735Z
zzocr0figgxr,39.09,400434,3933.0,31470867,377,2021-06-27T07:31:43.470Z
zy1h3liskhwc,23.85,170764,9048.52,67393266,1026,2021-05-02T16:39:19.542Z
zzwvtryzltcr,4.41,6555,13012.0,131696284,1462,2021-04-18T23:31:21.811Z
zz37y9eetszr,97.31,770334,9789.78,124541885,630,2021-04-29T01:46:21.122Z
zxvtp9h7bs1v,2.64,12247,1453.4,3996750,211,2021-05-07T09:15:34.395Z
zyvc2nodo068,33.66,315630,3526.35,24177998,142,2021-05-16T03:47:33.431Z
zywzewm7w2ze,11.2,108969,2470.04,9897447,593,2021-04-27T20:29:11.251Z
zz4wz65z2t99,27.46,232606,7744.85,49965236,608,2021-04-12T16:59:51.926Z
zvvxd93jrvmn,33.54,313875,2932.2,23337449,276,2021-07-01T06:00:24.598Z
zx2goaar52cx,20.94,159570,4832.42,32539210,332,2021-05-16T18:49:22.145Z
zxrlilz6xrj8,2.61,12763,7783.04,74208212,625,2021-04-20T00:50:21.375Z
zx678fhm54hi,25.96,113062,10927.99,39207671,2128,2021-03-14T02:15:13.543Z
zwxeh9vufha6,2.78,15949,112.51,309667,37,2021-08-01T08:21:22.16Z
zvhe885vzhmg,30.8,274568,1944.2,15351875,148,2021-07-21T15:55:20.779Z
zwi0kddqankb,40.4,209726,5395.81,28238564,522,2021-04-19T10:46:17.809Z
zx7rqklr7udl,2.69,13154,1515.68,3312875,227,2021-05-07T01:24:51.445Z
zxnnvf58tqdp,30.95,277136,5609.07,35880695,1236,2021-05-07T10:33:03.284Z
zvfj9fj2pils,1.19,14887,5139.71,26455680,962,2021-03-14T00:45:04.778Z
zutvnjhbgmer,32.51,299287,4459.34,34458376,401,2021-06-17T23:40:05.53Z
zuvj075autgb,3.47,21832,2449.18,11624671,264,2021-05-20T23:27:51.483Z
zu9b94t1jznz,2.58,7112,57.81,213827,7,2021-07-26T19:49:27.783Z
zvcbqsz5959t,31.26,281481,5680.01,37518050,607,2021-05-12T22:28:39.865Z
zv3l5j2ixcxa,2.67,6620,484.56,422023,76,2021-05-07T13:23:59.243Z
zu9byvltluk1,2.6,7954,3541.65,6632570,363,2021-03-08T13:49:31.174Z
zvd6suegb6e5,26.49,219938,5437.32,53473143,199,2021-05-18T01:23:02.683Z
ztr0nwbe0spn,2.6,4513,321.97,457671,48,2021-05-10T21:30:08.344Z
zugd60dh8hfk,2.58,9675,5184.24,5273143,504,2020-11-04T05:07:47.254Z
ztqtp2u06v5i,10.04,64008,1678.39,6418666,423,2021-06-08T08:58:07.387Z
zt1yajaxbgce,31.55,285591,1505.05,12386456,67,2021-07-16T14:22:26.977Z
zsqqyha53gtr,2.57,7077,18.32,54799,13,2021-08-17T01:47:11.354Z
zsf0vzrfmqlo,15.77,110880,716.65,4611525,59,2021-06-20T16:33:03.914Z
zs704nargz31,12.94,51521,21352.55,202539116,2399,2021-03-09T13:01:10.611Z
zsfjb716u4a6,4.8,8576,1254.38,856167,153,2021-05-08T09:06:30.488Z
ztdfc192304s,79.13,628460,24588.75,169741138,1656,2021-03-09T17:33:15.951Z
zt71u5pip8o6,22.69,177696,5440.08,26082715,506,2021-04-28T03:37:17.191Z
zs67ib7h3bon,3.66,21150,1064.23,2431009,187,2021-06-04T05:18:12.209Z
zs602gmaxj09,4.75,4147,766.56,1106924,110,2021-06-18T22:12:32.444Z
zsat3l1clonf,2.91,28736,167076.22,89819154,4104,2019-04-14T21:13:48.67Z
zqd4uo1f0wda,7.19,23514,1233.27,2523150,222,2021-06-17T12:53:39.770Z
zr7swvvsyut4,39.32,405023,4067.32,31876199,401,2021-06-27T07:27:34.761Z
zs5oc32ut9t3,27.08,368550,3928.55,35762670,132,2021-06-13T18:09:37.435Z
zr43t1c7t6j9,32.55,299800,3960.96,32076796,393,2021-06-28T10:28:19.295Z
zrr15v7mo6pn,5.9,35441,2957.16,18828989,191,2021-05-11T18:48:25.878Z
zqkluz8lb5d2,53.24,725885,11897.17,152531270,816,2021-04-20T10:38:31.258Z
zoyp8i4yyhy7,24.07,105362,3974.48,13761278,476,2021-04-30T14:19:41.560Z
zrjznqycqswv,55.16,1079042,12594.0,198795110,1293,2021-05-13T10:10:27.852Z
zrxl2yql5x20,16.07,218297,1334.68,17154933,148,2021-05-23T23:26:18.347Z
zoes7qjmf2wz,52.56,436382,11061.93,137976123,908,2021-05-21T04:13:04.508Z
zn9jl54cfrv1,30.58,271744,3996.66,31159294,394,2021-06-17T02:48:43.943Z
znm19tpld6vn,1.4,3310,1092.21,604541,238,2021-02-25T17:25:54.524Z
zniqd147a267,12.75,43457,1471.51,3409722,151,2021-05-07T18:22:07.82Z
zmg99isfipib,45.6,523665,27712.91,164453457,1298,2021-02-18T11:58:28.22Z
zneevolqriwn,24.31,223104,9729.76,58267164,497,2020-02-12T17:34:26.335Z
zme9qzrgorhs,4.05,3310,413.33,202557,57,2020-05-20T03:53:21.308Z
zndju9el7xr2,119.74,2007344,21802.21,399770292,2744,2021-04-24T04:24:33.793Z
zmg05cpliaob,6.34,24284,2125.24,6037977,500,2021-03-04T16:51:54.525Z
zmmhcer3bclp,7.49,46255,3093.05,24022928,446,2021-05-11T03:32:49.824Z
zm62l621q7du,20.6,156181,8241.42,53009470,696,2021-04-19T00:57:20.185Z
zjjbtardqpsx,2.63,9387,626.98,542856,91,2021-03-02T07:14:59.542Z
zm2drgu8t7id,25.74,211578,3825.85,30499704,359,2021-06-28T10:29:30.493Z
ziyqp7gg32qe,42.11,214453,6103.13,37522540,475,2021-06-16T04:41:34.988Z
zl4zgnhe4vqp,2.58,7112,783.17,2643338,112,2021-05-16T17:02:21.857Z
zkxnsdiwget5,28.66,247675,2683.07,17311848,447,2021-05-29T19:12:28.818Z
zix2y9ff6vnm,2.06,7357,432.02,189022,69,2021-05-26T15:03:57.511Z
zi5ws8bsm757,2.6,3310,1671.01,421396,160,2020-10-22T07:10:33.193Z
zl79hpt4rkyk,69.08,1209250,23790.1,312786974,2301,2021-03-17T20:36:34.549Z
zkrwbodiz7h5,58.6,346832,7304.19,59749880,611,2021-05-06T19:22:15.135Z
ziz0x96wkeh6,28.58,114120,14796.98,97891998,732,2021-02-19T07:39:09.95Z
zep9bvsx0v1n,27.73,235915,2146.03,16245887,221,2021-06-27T02:11:12.94Z
zgmnjd8i0qu4,22.06,170551,2113.87,13906543,79,2021-05-28T03:03:45.413Z
zgi1cokedbg0,31.26,281479,2294.32,17260669,210,2021-06-27T02:13:38.983Z
zhpor3vjn6b1,72.25,1341391,23640.29,257226848,1313,2021-03-18T17:25:09.938Z
zhuvrt7r7jmy,3.28,4553,67063.1,104006839,2822,2020-03-31T23:05:11.61Z
zf4jlpw30jj9,52.61,683038,5500.85,40352748,150,2021-04-28T17:52:00.273Z
zedndrjuxdia,25.65,210648,3761.16,29786598,367,2021-06-27T07:28:41.128Z
ze7xi77ingmq,10.91,71082,1874.73,6321096,306,2021-06-02T03:27:31.34Z
zg58ldxeyfik,4.22,10838,1942.44,2919627,446,2021-05-13T04:38:48.950Z
zgyq9h1nwfau,18.02,130408,2488.43,4256741,378,2021-01-19T22:41:22.625Z
zd0obr7r8hu2,2.71,15554,1297.63,5251250,202,2021-04-19T17:34:56.823Z
zd0fg5w5ldk6,31.27,281674,3380.49,27424305,325,2021-06-23T14:58:56.982Z
zdg1mws4nv7w,49.32,604190,7606.27,77548879,460,2021-05-22T01:30:10.176Z
zdrzpdn3foq9,56.91,830625,9289.62,151120337,663,2021-05-17T22:06:03.686Z
zcirypzw461v,34.05,321183,4042.24,32507411,393,2021-06-27T15:01:57.965Z
zdf9tta1f3ns,111.4,1060238,10745.08,109026621,550,2021-05-16T08:07:26.622Z
zdz2ax3x2wbk,2.61,6151,2947.6,7273267,477,2021-04-08T11:03:11.746Z
zcdt3vt8lo21,36.93,365899,3962.88,31171501,381,2021-06-23T14:57:27.240Z
zcfnysw8463o,33.92,319272,1796.16,13350256,176,2021-06-27T02:13:32.107Z
zdtb1pxoru5l,4.81,8368,36702.95,6205275,3262,2019-08-30T15:26:57.906Z
zc672eraszr2,3.38,25163,2097.63,11954291,402,2021-06-05T05:05:20.922Z
zb64w02ulcb4,13.36,90000,1735.37,8703881,169,2021-05-13T15:59:50.10Z
zbbwvb4v32ab,40.03,417868,15316.25,212071964,1242,2021-04-25T03:51:50.889Z
zam0gilu3jbg,54.33,308068,6317.4,47440728,292,2021-07-02T01:16:08.519Z
zbpj58el40tt,22.8,109524,11777.47,145143422,1393,2021-04-17T06:13:20.385Z
zandhxi9qcej,8.56,53723,8747.64,48422635,1548,2021-04-03T00:07:35.457Z
zb6f0psxyend,2.6,8368,2132.92,2451899,417,2021-03-20T08:32:08.384Z
zbvco5f1r0ho,71.4,527065,18984.37,112707126,812,2021-02-22T21:21:34.763Z
za2m18n346ct,2.6,8368,370.83,357286,55,2021-04-21T04:00:24.607Z
zawybt6yqncd,43.82,487876,5652.11,40031146,156,2021-04-10T14:44:20.507Z
z9x4tmtieuy0,11.52,75802,950.25,5311032,193,2021-07-21T17:23:47.317Z
za2kxbp11f1k,23.94,191610,830.68,6211255,73,2021-07-06T03:02:09.351Z
z8t9j29eyuog,10.17,64942,3089.17,10702079,526,2021-05-07T16:24:37.28Z
z8ymisj0bdgv,43.48,481099,1160.17,9474227,44,2021-07-15T02:11:26.39Z
z8c3mmjszivi,39.33,405336,2690.78,21108191,288,2021-06-22T09:57:47.291Z
z95ise1o06d8,34.39,326001,3640.59,28711963,346,2021-06-27T07:25:09.781Z
z9toqop3r08t,109.92,790456,145639.12,320681669,2449,2019-04-12T14:25:41.510Z
z8rr1us5i2gv,2.58,7889,1763.85,5027895,170,2021-05-17T22:15:33.769Z
z9jqyyzw1qtq,120.49,1199997,21164.67,195876522,1440,2021-03-16T21:02:58.757Z
z888fuy9j2z8,36.91,365613,3668.23,24042084,292,2021-05-19T00:09:41.211Z
z81enhktdwei,1.91,6160,339.92,188179,58,2021-05-28T14:53:45.680Z
z8725x20tgt9,1.68,3579,277.71,240071,44,2021-06-28T18:27:04.659Z
z7x2gjzaqnic,64.31,858680,11991.05,146207994,803,2021-05-11T15:02:16.254Z
z6xf9b7i0vkq,3.32,4940,1908.05,2653913,431,2021-05-03T09:39:19.734Z
z605n1d3k3dy,61.43,574523,18833.2,143415536,1454,2021-03-26T12:36:10.696Z
z6ow793svax0,18.45,73697,3898.64,11027326,420,2021-02-24T17:19:37.844Z
z4imvneiqb1d,2.6,8368,1343.46,1395648,220,2021-05-18T17:57:58.800Z
z4zq2o3kkhwp,48.61,768964,5019.72,53080613,341,2021-06-06T16:14:33.31Z
z6ktzowpyplz,44.49,800849,9513.93,115766711,1085,2021-04-27T01:11:30.98Z
z82y5icnn4wg,10.38,129303,35502.65,61031712,2441,2019-05-21T23:55:26.110Z
z26qj2fogy3k,33.84,318217,3944.65,31624671,393,2021-06-27T14:56:47.5Z
z3g7ir9dquho,37.89,381240,2353.09,19508737,76,2021-06-25T06:05:12.883Z
z440atmwg7uy,23.58,262481,4464.34,36370187,409,2021-05-10T23:02:26.589Z
z2gs2vskd5cj,2.6,3310,2560.53,220392,314,2019-04-30T14:14:18.660Z
z1m91m80o3xb,44.72,505949,8426.49,85209353,1368,2021-05-27T02:54:35.830Z
z0j48zx185na,36.85,364760,3846.69,30111184,406,2021-06-11T09:15:00.477Z
z1hl1pdaan3w,3.74,21637,61.95,153294,8,2021-07-26T19:39:49.921Z
z2h1ybiynet4,61.54,368280,7738.71,51429197,217,2021-05-16T18:23:49.53Z
z27vwhecb4zo,15.44,74500,9163.9,26516549,1019,2021-03-12T16:13:33.305Z
z2e008p09llq,4.81,7410,1654.91,1241814,295,2021-04-28T19:15:00.301Z
z09u0zjzyzqt,36.77,363378,2229.73,16595367,221,2021-06-27T02:13:53.941Z
yzqxzkl0ip8m,6.51,27489,4064.97,18042192,476,2021-05-16T11:54:26.655Z
z0dxt3elftqe,4.47,6054,1682.01,2969780,393,2021-05-22T21:38:51.979Z
z0bappmk3j5z,2.91,16736,1005.2,2684535,425,2021-06-23T14:07:44.113Z
yzg9tygzrvn3,8.77,55154,4565.65,11064595,549,2021-03-19T14:22:48.291Z
yzf4sdi85ve2,26.51,220137,5248.28,35708659,138,2021-03-07T14:22:24.772Z
yyy5v4rkgc65,2.58,12611,2369.99,2446497,313,2021-03-15T16:23:34.270Z
yy3jb335kjrc,36.88,168210,16222.27,120533532,1699,2021-02-26T10:49:34.938Z
