username,payout,points,total_payout,total_points,total_wus,created_at
zywhpi9dit4p,6.49,26350,1266.4,3541488,190,2021-07-05T15:42:19.495Z
zzw88jwyyzzk,32.36,648611,3681.51,57598888,1941,2021-07-08T17:57:08.783Z
zzdsm8io2oft,2.67,3771,276.99,145566,55,2021-04-20T03:06:02.787Z
zz37y9eetszr,96.01,1079255,11700.27,145285003,717,2021-04-29T01:46:21.122Z
zygzh5nmiubo,29.06,294791,2777.27,22907064,285,2021-06-27T02:12:40.735Z
zzwvtryzltcr,4.54,6550,13081.48,131820999,1479,2021-04-18T23:31:21.811Z
zywzewm7w2ze,4.7,53620,2569.96,10940065,667,2021-04-27T20:29:11.251Z
zxvtp9h7bs1v,2.67,3400,1523.37,4429550,225,2021-05-07T09:15:34.395Z
zz4wz65z2t99,31.34,330755,8339.21,55789437,650,2021-04-12T16:59:51.926Z
zzocr0figgxr,27.25,266879,4551.22,37698577,442,2021-06-27T07:31:43.470Z
zx2goaar52cx,37.52,445601,5142.73,35516056,353,2021-05-16T18:49:22.145Z
zvhe885vzhmg,25.6,243977,2461.31,20332828,195,2021-07-21T15:55:20.779Z
zwi0kddqankb,31.66,175477,5829.24,30758901,566,2021-04-19T10:46:17.809Z
zx7rqklr7udl,2.65,9463,1574.98,3652802,249,2021-05-07T01:24:51.445Z
zx678fhm54hi,26.56,145287,11387.95,41376429,2169,2021-03-14T02:15:13.543Z
zvvxd93jrvmn,36.66,428373,3546.97,29513681,342,2021-07-01T06:00:24.598Z
zvbsnbn58w28,2.58,4040,734.77,449030,180,2021-05-18T18:01:23.346Z
zvd6suegb6e5,38.08,456633,5894.05,58412471,216,2021-05-18T01:23:02.683Z
zv5qjcdoxwdj,2.68,5144,760.7,1266648,74,2021-03-09T14:29:21.607Z
zvfj9fj2pils,4.51,63718,5148.47,26588862,969,2021-03-14T00:45:04.778Z
zu9b94t1jznz,11.54,85596,79.26,343061,11,2021-07-26T19:49:27.783Z
zutvnjhbgmer,17.85,148128,4841.04,37825189,444,2021-06-17T23:40:05.53Z
zu9byvltluk1,2.66,5953,3615.9,7079262,382,2021-03-08T13:49:31.174Z
ztqtp2u06v5i,2.66,8993,1814.73,7329762,480,2021-06-08T08:58:07.387Z
zt1yajaxbgce,36.29,421123,1914.17,16633471,87,2021-07-16T14:22:26.977Z
ztdfc192304s,66.74,471071,25991.45,180210608,1742,2021-03-09T17:33:15.951Z
zsqqyha53gtr,2.66,7338,71.28,238790,39,2021-08-17T01:47:11.354Z
zugd60dh8hfk,2.63,14331,5275.73,5871589,534,2020-11-04T05:07:47.254Z
zt71u5pip8o6,20.8,181712,5820.03,29272916,560,2021-04-28T03:37:17.191Z
zuvj075autgb,3.47,21799,2519.38,12052619,289,2021-05-20T23:27:51.483Z
zsg8qvg43aij,2.57,4940,779.79,937532,248,2021-05-06T16:13:28.605Z
zs5oc32ut9t3,23.16,370170,4211.35,40450024,146,2021-06-13T18:09:37.435Z
zrjznqycqswv,34.72,765603,13497.22,218295350,1419,2021-05-13T10:10:27.852Z
zs67ib7h3bon,2.64,9433,1120.61,2764041,220,2021-06-04T05:18:12.209Z
zr43t1c7t6j9,32.69,354588,4587.87,38499169,460,2021-06-28T10:28:19.295Z
zr7swvvsyut4,26.78,260369,4692.59,38225153,471,2021-06-27T07:27:34.761Z
zrswz6b1b1g1,68.73,486870,5429.97,33465905,435,2021-06-17T02:46:47.499Z
zsfjb716u4a6,4.46,6667,1325.56,990881,171,2021-05-08T09:06:30.488Z
zs704nargz31,93.69,868438,22001.05,207444086,2475,2021-03-09T13:01:10.611Z
zqkluz8lb5d2,57.28,920186,13019.73,170618070,906,2021-04-20T10:38:31.258Z
zq0ohtwc87vp,2.97,18969,2884.38,24452362,235,2021-05-08T17:04:08.472Z
zqd4uo1f0wda,6.68,24857,1397.3,3174162,258,2021-06-17T12:53:39.770Z
zn9jl54cfrv1,19.95,170925,4602.44,37284874,456,2021-06-17T02:48:43.943Z
zniqd147a267,4.47,10657,1533.29,3633568,163,2021-05-07T18:22:07.82Z
zmmhcer3bclp,15.89,126826,3242.4,25058189,489,2021-05-11T03:32:49.824Z
zn0het1kailu,4.61,16201,5376.47,31889959,491,2021-03-27T15:16:36.28Z
zndju9el7xr2,94.21,1805126,23749.38,433835392,2948,2021-04-24T04:24:33.793Z
zneevolqriwn,40.55,593598,10368.47,65550877,545,2020-02-12T17:34:26.335Z
znvouymtuvm6,2.58,7109,13610.16,3218686,842,2019-07-03T03:47:52.741Z
zmg99isfipib,39.4,484718,28697.11,178053943,1368,2021-02-18T11:58:28.22Z
zm7drhrepa8o,4.69,3493,919.87,715682,218,2021-05-13T17:02:41.807Z
zlndso2soihp,2.6,8368,138.26,133922,25,2021-06-27T00:28:25.227Z
zm0se7xmji6v,3.7,23753,492.76,1049291,79,2021-05-09T16:23:58.30Z
zm611g7svmw8,1.74,4797,255.27,163629,60,2021-05-28T14:55:04.935Z
zlngtf5j4atp,2.6,8796,1072.02,2350580,172,2021-05-15T14:42:25.387Z
zmg05cpliaob,4.93,19936,2221.42,6436134,524,2021-03-04T16:51:54.525Z
zlh5sr8hezgq,3.13,11254,1701.21,1512547,246,2021-03-01T17:01:49.480Z
zm2drgu8t7id,37.83,451754,4446.34,36846559,425,2021-06-28T10:29:30.493Z
zl79hpt4rkyk,71.05,1650961,25120.28,341020073,2496,2021-03-17T20:36:34.549Z
zkrwbodiz7h5,75.83,633284,8389.89,67175745,644,2021-05-06T19:22:15.135Z
zjjbtardqpsx,2.67,7358,640.09,582026,96,2021-03-02T07:14:59.542Z
zicrsk5wlfzw,12.29,91990,35.86,137759,20,2021-03-09T01:14:36.724Z
zgyq9h1nwfau,2.7,17209,2590.74,4989047,415,2021-01-19T22:41:22.625Z
zhuvrt7r7jmy,42.19,383241,67945.73,111313195,2910,2020-03-31T23:05:11.61Z
zgmnjd8i0qu4,23.52,215135,2332.34,15826169,90,2021-05-28T03:03:45.413Z
zgi1cokedbg0,26.85,261391,2872.02,23118900,272,2021-06-27T02:13:38.983Z
ziyqp7gg32qe,43.23,273353,7140.75,44024395,548,2021-06-16T04:41:34.988Z
zhpor3vjn6b1,67.26,1444164,24894.08,282985536,1411,2021-03-18T17:25:09.938Z
zi5ws8bsm757,2.57,4940,1676.19,432815,164,2020-10-22T07:10:33.193Z
zg7i9zi8she7,2.61,9801,4006.18,20943985,376,2021-05-06T15:38:14.98Z
zf6q7tl9jf6t,1.79,5241,362.02,217275,78,2021-05-28T14:54:32.30Z
ze67ygf0ts1q,12.67,95312,3368.55,18722803,356,2021-03-10T03:50:16.925Z
zep9bvsx0v1n,32.09,344069,2806.64,23094561,291,2021-06-27T02:11:12.94Z
zf4jlpw30jj9,34.51,386820,5881.14,44436513,163,2021-04-28T17:52:00.273Z
zedndrjuxdia,16.72,135833,4378.1,35982407,435,2021-06-27T07:28:41.128Z
ze9tnl0nks84,1.78,10338,1185.31,1684284,231,2021-04-12T11:15:23.233Z
ze1qm7rm0c3p,15.07,118952,8258.56,56496028,398,2021-04-12T12:43:54.857Z
zg58ldxeyfik,12.71,50475,2044.08,3238407,493,2021-05-13T04:38:48.950Z
zdz2ax3x2wbk,2.62,5870,2999.75,7407555,522,2021-04-08T11:03:11.746Z
zdrzpdn3foq9,53.09,802905,10508.5,171968146,755,2021-05-17T22:06:03.686Z
zd18yrg87a9f,2.6,3310,489.76,388052,78,2021-05-01T16:10:23.763Z
zcfnysw8463o,25.85,247395,2346.41,18916236,235,2021-06-27T02:13:32.107Z
zdij82vbmwbx,2.62,11495,396.91,572114,53,2021-05-09T08:29:27.227Z
zcsg1sjk4r6s,31.45,332525,510.54,5194499,56,2021-07-06T03:07:02.638Z
zcdt3vt8lo21,28.69,289041,4597.61,37639035,450,2021-06-23T14:57:27.240Z
zcdhsjnzb7mj,2.57,4940,3395.12,5452929,514,2021-03-05T13:23:59.585Z
zd0fg5w5ldk6,29.69,304698,4027.76,34061827,400,2021-06-23T14:58:56.982Z
zcirypzw461v,35.52,405669,4687.15,39178097,467,2021-06-27T15:01:57.965Z
zcjpcoxcby4c,29.64,303934,3715.48,29993329,126,2021-05-18T01:21:38.906Z
zdf9tta1f3ns,53.08,378292,12234.2,121714705,603,2021-05-16T08:07:26.622Z
zb6f0psxyend,2.63,9880,2159.16,2543107,438,2021-03-20T08:32:08.384Z
zam0gilu3jbg,63.15,551034,7689.29,57976717,353,2021-07-02T01:16:08.519Z
zag8irbdwxnj,18.11,150979,93.9,475114,11,2021-07-26T19:53:42.775Z
zc672eraszr2,11.12,116550,2275.42,13865270,441,2021-06-05T05:05:20.922Z
zb64w02ulcb4,12.79,96975,1988.18,10605022,205,2021-05-13T15:59:50.10Z
zbpj58el40tt,3.58,12022,12036.46,146377091,1441,2021-04-17T06:13:20.385Z
zb9l7g160ipd,28.24,281918,226.26,2272744,33,2021-08-23T15:13:27.502Z
zbvco5f1r0ho,71.15,673263,20597.45,126160893,873,2021-02-22T21:21:34.763Z
zbbwvb4v32ab,30.52,317900,15946.38,219196146,1293,2021-04-25T03:51:50.889Z
zandhxi9qcej,10.47,76390,9082.78,51299221,1636,2021-04-03T00:07:35.457Z
z9a8677gb9zh,25.91,248277,550.66,5588010,67,2021-07-06T03:06:01.575Z
za2kxbp11f1k,28.36,283924,1451.59,12556048,132,2021-07-06T03:02:09.351Z
z99cd8gqe1lr,2.65,8980,54.89,112770,40,2021-08-17T21:40:27.922Z
z9waj0uy9sac,2.69,7410,644.23,2892682,128,2021-05-03T19:43:23.605Z
z9x4tmtieuy0,18.75,157918,1241.24,7524961,260,2021-07-21T17:23:47.317Z
z9jqyyzw1qtq,19.24,78283,21626.12,199686248,1462,2021-03-16T21:02:58.757Z
z8c3mmjszivi,12.74,96459,3316.49,27522866,358,2021-06-22T09:57:47.291Z
z95ise1o06d8,30.65,319872,4256.36,34889840,415,2021-06-27T07:25:09.781Z
z9toqop3r08t,76.8,552754,147449.93,333343080,2511,2019-04-12T14:25:41.510Z
z8t9j29eyuog,5.95,39809,3227.88,11636724,581,2021-05-07T16:24:37.28Z
z7ryf0246c9e,15.18,305859,4849.97,39998058,391,2021-04-10T18:13:27.525Z
z7x15trz7h06,11.99,89493,1106.28,5993175,209,2021-05-08T08:10:41.442Z
z7x2gjzaqnic,67.07,1173180,13149.7,164188318,888,2021-05-11T15:02:16.254Z
z605n1d3k3dy,54.68,593998,19801.02,152751911,1548,2021-03-26T12:36:10.696Z
z6ow793svax0,5.36,22450,4063.26,11732642,448,2021-02-24T17:19:37.844Z
z6xf9b7i0vkq,3.1,3400,1962.99,2813948,453,2021-05-03T09:39:19.734Z
z888fuy9j2z8,37.34,441889,4189.94,29032361,341,2021-05-19T00:09:41.211Z
z56f2ut6sfyh,2.6,8368,485.0,388993,71,2021-05-11T10:08:19.472Z
z5j7qeqcmgli,23.06,209519,7575.37,38469317,923,2021-04-03T03:17:11.926Z
z82y5icnn4wg,25.8,667208,35775.31,68367205,2504,2019-05-21T23:55:26.110Z
z440atmwg7uy,20.92,256141,4870.95,41368509,468,2021-05-10T23:02:26.589Z
z3hptokw8t4o,12.56,94380,660.19,3115001,95,2021-07-05T14:26:37.992Z
z4zq2o3kkhwp,7.89,67172,5487.57,60172996,386,2021-06-06T16:14:33.31Z
z4dtc2id8vy6,7.87,28744,2647.54,18757306,300,2021-05-18T16:19:25.927Z
z2e008p09llq,4.38,5870,1702.69,1294013,315,2021-04-28T19:15:00.301Z
z4mscqi7xfty,4.43,6296,8774.95,45974209,547,2021-02-24T20:44:02.320Z
z26qj2fogy3k,25.43,241620,4551.91,37700702,464,2021-06-27T14:56:47.5Z
z4imvneiqb1d,2.6,10838,1390.49,1559263,248,2021-05-18T17:57:58.800Z
z27vwhecb4zo,10.75,56952,9419.57,28020544,1063,2021-03-12T16:13:33.305Z
z1tz88kscb4d,18.35,153598,6070.7,31116983,342,2021-04-25T22:57:11.710Z
z0bappmk3j5z,2.62,5870,1092.16,3232562,493,2021-06-23T14:07:44.113Z
z1hl1pdaan3w,11.52,85445,110.16,498375,13,2021-07-26T19:39:49.921Z
z15fgb666d1j,25.77,246309,588.74,6107322,73,2021-07-06T03:03:38.865Z
z09u0zjzyzqt,26.66,258674,2844.22,22762852,287,2021-06-27T02:13:53.941Z
z0j48zx185na,37.89,453006,4470.62,36492486,476,2021-06-11T09:15:00.477Z
yz7z2egnjkk0,2.57,6379,541.55,232748,93,2021-05-19T16:13:40.563Z
yzqxzkl0ip8m,13.19,84966,4428.19,20354934,538,2021-05-16T11:54:26.655Z
yzwokle6hg7d,29.91,308200,7903.31,40407898,955,2021-04-03T03:35:02.125Z
z1m91m80o3xb,43.52,579643,9281.9,95852295,1518,2021-05-27T02:54:35.830Z
yzg9tygzrvn3,12.06,90024,4684.66,11887897,580,2021-03-19T14:22:48.291Z
yy3jb335kjrc,35.51,176889,16982.48,124684196,1734,2021-02-26T10:49:34.938Z
yxpnsqax3eh5,32.03,342996,9209.35,59103768,1322,2021-04-20T14:09:31.521Z
ywzh2fkjq2wa,29.38,299841,1365.63,13144103,174,2021-07-06T03:02:47.682Z
yxxoyrwl7hh1,2.99,19106,1750.04,4101808,638,2021-05-22T17:52:44.374Z
ywka5iikfdyd,1.83,4034,239.47,182097,48,2021-06-12T03:58:17.982Z
ywg3acvjdi32,46.17,328451,4862.37,31399600,196,2021-07-02T16:03:00.426Z
yw4n5d7c40gj,2.61,3328,79.78,201042,50,2021-07-30T17:06:35.524Z
yywlg351o0i1,2.58,7894,623.09,702536,101,2021-06-12T00:18:42.306Z
yxfgexq3p363,6.47,44079,1012.27,2404473,184,2021-04-18T08:07:31.652Z
yyy5v4rkgc65,2.84,18155,2431.23,2772708,345,2021-03-15T16:23:34.270Z
yvptf4mdpusg,22.47,378780,4041.18,90886550,570,2021-07-20T02:31:01.850Z
yuf79shi9pks,2.69,3606,95.01,108440,19,2021-06-23T05:32:53.399Z
yvgncq0victl,4.44,29205,927.21,7732646,218,2021-08-10T10:27:27.754Z
yul0tmjmsnsb,2.6,8368,825.68,1596683,113,2021-05-15T06:34:02.630Z
yw4f1qtux9q2,23.97,220731,2710.68,21751239,251,2021-06-27T02:18:06.413Z
yvfjc0a6ohht,4.55,13740,1277.5,3055456,159,2021-05-06T02:03:55.116Z
yu81i6a54dky,48.57,713137,11591.93,232151800,1319,2021-06-01T23:59:46.602Z
yuh204jepvr5,44.22,343212,19794.41,123757955,982,2021-03-09T11:39:11.825Z
ytzgoo7rrjcw,40.19,228696,10710.19,98056994,1137,2021-05-17T17:22:00.522Z
ytq8bzhxjq6u,1.31,4691,18593.52,60318541,2185,2020-12-07T01:09:42.611Z
ytl8szo7vd5s,39.0,475678,4896.99,40467238,460,2021-06-23T14:54:39.718Z
ysjsoqoj36am,14.71,204257,7614.49,40861646,946,2021-04-03T03:34:28.31Z
yrhqc2z3e0os,7.41,51301,2425.23,7461645,945,2021-05-07T02:59:17.111Z
ytmsj1ybsvbd,47.09,312547,7061.86,43537055,533,2021-06-17T02:46:22.39Z
ys3i1ojoekyw,78.08,787339,17459.11,172722574,886,2021-04-22T04:21:35.939Z
yqohlzbaiudf,53.67,322964,10259.48,77204267,799,2021-05-13T20:08:15.741Z
yrmjr12055eg,23.07,209605,3766.11,30989319,377,2021-06-22T09:55:48.219Z
yqfnz4v126nm,2.26,20975,1022.65,2552008,277,2021-04-16T15:41:51.201Z
yrs5vzp97svb,22.91,339332,4464.51,76988743,2244,2021-07-03T20:56:44.622Z
yr8c6nfi5mkx,49.19,309569,7192.47,43880163,547,2021-06-16T04:41:26.811Z
ynxvdijmns76,23.88,219618,2567.52,13577118,311,2021-05-14T12:58:33.71Z
ypq7of4fk4cs,14.39,112359,47.32,378150,11,2021-08-23T15:15:44.18Z
ynwic5n5dkse,2.57,4940,714.15,618328,273,2021-05-05T17:56:00.678Z
yqfcop00fpa2,20.35,176117,4333.15,36063355,454,2021-06-17T02:50:20.408Z
yoqqv9o2wrpb,30.01,666961,5532.83,64227932,442,2021-05-11T16:51:49.632Z
ypbwifora5lb,3.87,25187,1807.29,4630522,263,2021-05-02T20:11:03.239Z
yn9v1slca4jr,1.85,5753,286.89,336991,61,2021-06-13T20:52:11.248Z
yoiakqpgm3up,5.57,37119,1531.47,4739114,259,2021-04-20T00:01:53.330Z
yomsh8sricqu,45.78,636428,8099.75,85194064,741,2021-05-12T02:51:12.122Z
yn4l6itt8x4y,44.93,614606,10232.48,93699575,1952,2021-05-05T12:18:54.33Z
yio178nfkkur,69.71,1575692,5940.51,135940830,768,2021-07-21T06:14:01.438Z
yiwqejfyqpfe,9.49,67995,433.2,4357172,56,2021-07-06T03:07:14.14Z
ylz51rg92sis,15.87,126630,872.34,10058079,78,2021-07-30T04:39:31.336Z
ylmuf65e1gau,2.7,6042,1266.79,1565312,207,2021-04-27T09:17:06.758Z
yis4ol10aj47,2.67,3400,980.57,820125,145,2021-05-03T10:34:24.406Z
ymp7bcmxen8u,33.25,364479,4426.37,37324762,430,2021-06-28T10:25:02.721Z
yiac4o5tdsl0,35.67,408704,503.12,5006426,64,2021-08-23T15:11:13.225Z
yi9giizfdulx,2.6,8368,202.26,833033,136,2021-07-10T14:31:52.436Z
yj5kop7tde05,4.19,16788,6817.49,8511716,1064,2021-01-17T14:43:10.197Z
yj8qwuuv2ess,8.81,62116,7501.42,41345641,221,2021-04-04T05:03:57.317Z
ygosbi6qmd74,2.57,3450,52.39,122902,33,2021-08-10T14:49:37.642Z
yhb1bsh3qxa9,2.66,14485,134.56,321937,46,2021-08-02T19:14:47.50Z
yh5a5imtnlla,16.69,135540,5276.21,43917668,1023,2021-05-13T23:47:56.804Z
yhx936z6krz7,27.01,388871,2912.07,25753440,124,2021-06-04T00:16:01.249Z
yi64xnp3r69m,39.34,199251,14896.84,58682052,975,2021-02-26T12:56:11.989Z
ygnt3y7sfbdu,47.06,671669,8066.64,54047571,214,2021-04-04T05:24:42.468Z
yhacsvcuj0cr,3.18,30426,1246.84,6703502,209,2021-05-19T14:08:49.80Z
yi6jd55r962r,6.28,33339,6132.65,14523831,987,2021-02-26T23:22:34.369Z
ygfhmnecmmg9,2.61,6817,6352.68,2420630,613,2020-05-04T10:15:36.160Z
ygf81zw7knn3,40.97,250786,6212.72,35817836,472,2021-05-17T01:14:59.42Z
yegk31n4mh5a,2.58,3832,138.99,72176,21,2021-07-10T12:34:04.224Z
yfm3xct9zenb,41.47,530693,4738.13,46871294,336,2021-04-27T19:07:24.263Z
yf9nu3dc61om,21.84,194457,5031.75,46862440,459,2021-04-27T08:15:46.536Z
yfj6rp15qoqw,12.05,90000,11267.96,21865303,1129,2021-02-15T09:39:34.615Z
yfi4q330mlgv,58.05,403340,6955.27,41957937,541,2021-06-16T04:41:59.791Z
yfq1zdv3umpu,2.78,17712,8551.42,18337433,776,2021-02-12T23:15:59.297Z
ydwtt10mtymk,2.65,7304,582.38,1075246,83,2021-06-01T10:24:59.623Z
yg213i5x1eju,107.26,1092191,38466.97,320620918,2252,2021-02-21T15:20:36.809Z
ye8kvrpj2o6z,23.32,140480,13421.15,31034399,1239,2021-02-14T12:50:15.109Z
yg2ojdhhmk3j,34.1,379566,4743.36,39360374,466,2021-06-27T14:59:03.464Z
ycjihjwdndx3,2.58,5785,161.42,232937,43,2021-07-30T13:12:01.422Z
