username,payout,points,total_payout,total_points,total_wus
6m5khs4cnqq2,166.37,4687388,611624.53,3099203353,25717
vmiarc39yres,63.32,2418233,2194791.04,6273501876,45849
tfgjdryn2a11,112.83,2315793,460880.38,1524184188,12519
tkmrq8rmmql0,116.2,2466644,646361.85,2054575814,9911
alzwi0b7lu03,107.47,1232633,515581.71,1121559725,6608
hkvbmviprr4c,57.32,1585271,176821.31,687524995,3699
5ps4i9lmt3px,97.0,1644502,227731.34,648004430,7718
ddvtsqvzb26g,52.48,1337561,119458.54,480023600,3698
iwlkj0u7stra,98.49,1703779,322762.01,607633411,8891
rly2g8kduq2h,94.5,1545937,53198.94,425540604,1953
hdlpt90ypbnb,139.14,966353,333486.66,482438908,4657
hguh04wdx4py,167.04,8220683,22383.6,430030164,2298
j6zzeyxavupt,37.07,752842,238111.25,473136588,3952
1r5o02d1nxjl,42.71,1835123,86232.56,395786044,2796
9ts44bgacp8g,67.0,2435636,76716.56,446058614,2282
hsy6urcpwzj3,25.55,295476,31524.44,337737515,1957
xcrufix45v3f,38.2,844985,149908.47,371030853,4366
s09l9wtxf7yk,27.19,395860,36704.03,342714848,2021
19lv1u44rnu2,126.32,2923951,41223.72,382446211,2235
29i1oe6kw2uc,16.72,10638,423119.23,384346275,6952
70vnj3hsb6yb,20.53,265573,32616.12,314144172,2636
wpicku03fo9m,21.96,328928,35878.37,303189351,1969
3qqyfkf7gl0q,22.54,439099,29082.44,309877484,1933
lzs3tpytaxft,41.79,1047684,152321.6,326616855,2689
a18de3pcr2kl,25.52,645821,31336.49,299430584,1724
u888sz04cbvb,22.8,298971,30355.69,290874031,2031
tg3ct6093qb7,142.56,3657347,19560.21,288323931,1518
3gm4chjkp59d,60.72,545796,279775.26,306959290,2662
yjo915e8wwtr,22.36,244246,34157.54,288483400,1726
j9nqho75dg5g,32.58,1150157,131584.49,268058550,3115
pqgkxo1nicav,55.75,2070115,85318.16,259815421,1558
1n7t8823hjtd,47.74,1064405,240768.84,249959988,47572
knoj3mpnbmaj,43.8,2564071,19792.16,253137046,1180
epw82116eh17,25.74,399570,202135.48,245576413,4156
4xyomu3c6s8b,84.43,623954,184016.17,243227177,2963
jwsaqj967kkw,113.73,2355432,24061.86,243324356,1218
4yrn48as3zfb,99.81,1757752,21351.51,245238792,1232
0a4j39bdapty,109.17,2154729,21324.41,239981936,1004
3m5gunt23oke,62.58,582887,174665.2,234486254,3569
wo63q8c26knx,79.25,1013344,99625.04,230704609,2392
hqw0ccsu9bd7,38.88,842285,198125.34,233096101,2039
rvrmzoqf5a2v,24.9,610513,138051.48,227738049,3313
unw8thvvkxwh,61.48,560864,225256.86,232671832,1831
8p831icill70,106.63,2044373,20295.04,233453938,1496
9wfkok8lxc2w,38.0,187082,221346.91,228300141,1798
5j7x6meatxyh,118.83,1453623,121499.16,229153712,2791
ydrap2oum6vz,83.7,1155582,20722.71,224155926,921
opo2js9ihp50,54.14,1631632,44593.68,221741762,1935
dilmhyryigdy,77.52,238962,288583.35,224126121,2440
k2rdhosk79dl,118.18,2555404,20332.5,226074097,1031
ej4tpa0l6ajb,102.4,1864269,19764.07,226386697,1067
xabr0vaq3n5b,130.37,3108191,24266.54,222221399,976
7m53cun9kixa,78.75,997829,91078.62,218346884,1402
jwjrrlez77ly,37.54,775070,228714.3,224353474,4604
v8u5jd7u6k1l,91.98,1448641,36365.66,207800953,1032
tvkgjtpm50u1,30.43,630484,152401.3,207216698,3710
3mwr1ywhuhm1,48.87,1673948,34083.43,204487852,1834
r9tjexfwil9f,21.48,329009,219132.06,201621434,5602
c5ncz8ltfyw2,35.12,1152722,39677.81,202510826,1429
ev46pllkvy6p,35.9,256847,168165.01,198240002,6035
m8kzyglhxnb3,20.47,215653,173399.59,198691787,4910
j7hy8vliawb5,17.09,103314,135046.1,191264520,2651
w4mik49a2p95,28.47,434538,103353.08,196135790,3745
evqx30ajh07k,87.55,1287555,20194.29,190494417,1198
3jyzcm6rhwzq,48.11,352675,190038.47,185057865,1527
bit7n1teax8j,73.01,272272,256236.72,188328509,16279
4h9ym8h2c74g,43.66,242403,153417.68,190025574,2838
kr51wiiwtg8y,23.26,298213,133988.2,183375906,26259
u9gwixkz2i6g,49.42,352131,181390.68,181199846,1510
9g50650tsr77,25.77,558274,104046.5,177008796,9109
e1fa1zkgvbtd,67.16,684946,65332.34,174431561,1641
x0g9dakcdnxm,10.92,49952,160882.01,179412917,8381
4kg3k4cncz5a,16.07,208177,129946.45,177363278,5106
uwt8mmdrbx83,20.13,112603,180798.29,170746972,1411
pchbrephvmul,90.14,549465,223541.97,168772354,1673
es9s2y4nvad7,70.8,814429,31281.77,167309572,822
6s96k4gk088r,44.53,901688,35590.29,169061572,1106
