vy0my4jfyeut,10078.84,151077381,259391.16,3698178052,18853
tkmrq8rmmql0,165.01,5055289,652875.11,2200384818,10508
rv8fxr56dolc,46.04,1155231,609131.51,1330365476,11930
t35yivdb1pfa,2649.64,58669292,56606.75,1301773327,5515
rmbme1ep8xxs,9427.56,141138258,92254.56,1337726559,5934
vmiarc39yres,89.56,4478923,2200574.15,6549949604,47877
6m5khs4cnqq2,166.37,5047139,621610.78,3387644742,27045
tfgjdryn2a11,154.98,4620200,466998.18,1654743731,13280
l9om7ydyeiqr,1837.72,32557417,75865.91,1452774608,8583
nfapbvhsks09,3820.41,55719395,31868.3,569266773,7209
rly2g8kduq2h,194.64,6256200,59883.96,583986764,2572
kexl7542ocuk,3718.8,54176431,44823.64,858124979,2534
hguh04wdx4py,174.69,8628985,32204.59,912421077,4302
6bdyk436p9cv,358.69,11284566,77287.55,1117582227,3330
hkvbmviprr4c,47.42,1758154,179481.27,786994700,4205
alzwi0b7lu03,150.78,2009207,522970.65,1215885780,7008
ddvtsqvzb26g,60.43,1361017,122513.95,571509720,4246
19lv1u44rnu2,122.58,3046873,48484.02,554486685,2952
5ps4i9lmt3px,96.44,1828084,232459.72,722867790,8357
tg3ct6093qb7,233.05,7646203,27226.65,489738673,2411
9ts44bgacp8g,58.94,1641754,79784.53,548412221,2749
8p831icill70,117.64,2811112,27103.4,390155542,2300
j6zzeyxavupt,57.82,1367501,239733.11,500473609,4102
k2rdhosk79dl,160.85,4876941,26991.98,378436709,1616
hdlpt90ypbnb,92.01,612834,339449.15,548103715,4962
ej4tpa0l6ajb,105.98,2259723,25550.4,352856655,1554
0a4j39bdapty,102.19,2085369,27399.66,366464142,1465
4yrn48as3zfb,33.64,165630,27191.35,379822233,1808
29i1oe6kw2uc,13.21,13090,423952.53,386497129,7060
1n7t8823hjtd,39.46,473392,242847.99,289682352,51031
wo63q8c26knx,144.69,4157879,104952.49,333128275,2933
ydrap2oum6vz,173.54,5414268,25813.02,324977708,1302
knoj3mpnbmaj,43.02,2533844,21509.28,340076880,1534
opo2js9ihp50,56.35,3669759,46612.42,296154936,2465
evqx30ajh07k,92.23,1647498,25957.5,301443443,1740
v8u5jd7u6k1l,131.11,3526677,41134.31,288087034,1386
j9nqho75dg5g,51.56,1932024,133686.75,326417373,3518
ev46pllkvy6p,57.42,2018560,171495.86,294853408,6724
hqw0ccsu9bd7,57.29,1924136,200221.8,287556348,2338
jc3035hbf8ht,68.11,4311146,10484.85,271514234,1077
4xyomu3c6s8b,98.59,781948,188061.78,269516111,3154
3mwr1ywhuhm1,42.7,1954451,35482.52,256500905,2138
c5ncz8ltfyw2,55.29,1463925,42118.41,276082265,1819
7m53cun9kixa,82.1,1248241,94964.48,271792349,1681
epw82116eh17,29.95,281977,203888.55,270659639,4412
71tsdlxcz71u,103.52,2145861,21084.49,255098564,1302
fwtyv5qh8saz,35.4,496908,146110.88,258043165,7539
unw8thvvkxwh,72.63,973596,228148.95,259079329,1970
9wfkok8lxc2w,59.5,583930,224220.07,253051107,1928
i3ptnncjlrcw,111.87,2609308,23276.05,237951530,1197
rvrmzoqf5a2v,37.22,730672,139316.74,249568425,3527
5pns0ymqjcws,43.39,1297419,22284.78,237238856,2466
3m5gunt23oke,36.63,191767,176473.68,246852122,3699
6tb3u6xe1zuk,39.94,272402,116373.22,233119066,1833
0a2b5mgoksd3,46.61,1612676,19728.66,245218995,1523
zftdswq8v061,114.94,2755551,46597.58,247663147,3249
s4d2j2uieezq,120.41,3017053,26267.22,232176635,2634
dilmhyryigdy,49.89,118211,291788.83,234310508,2535
