username,payout,points,total_payout,total_points,total_wus
tkmrq8rmmql0,112.23,2289471,646474.08,2056865285,9921
vmiarc39yres,100.29,6344022,2194891.33,6279845898,45894
6m5khs4cnqq2,166.99,4713014,611791.52,3103916367,25739
tfgjdryn2a11,111.34,2250052,460991.72,1526434240,12535
alzwi0b7lu03,80.55,423750,515662.26,1121983475,6611
5ps4i9lmt3px,99.94,1762864,227831.28,649767294,7740
hkvbmviprr4c,47.33,1982444,176868.64,689507439,3709
hdlpt90ypbnb,144.84,1552293,333631.5,483991201,4665
ddvtsqvzb26g,56.08,1566975,119514.62,481590575,3708
iwlkj0u7stra,101.68,1834816,322863.69,609468227,8906
j6zzeyxavupt,22.52,188550,238133.77,473325138,3953
hguh04wdx4py,202.76,8379768,22586.36,438409932,2339
19lv1u44rnu2,127.7,2987041,41351.42,385433252,2247
9ts44bgacp8g,64.07,2129989,76780.63,448188603,2292
rly2g8kduq2h,132.48,3203659,53331.42,428744263,1965
1r5o02d1nxjl,46.37,1799141,86278.93,397585185,2804
29i1oe6kw2uc,14.08,476,423133.31,384346751,6963
s09l9wtxf7yk,27.05,485018,36731.08,343199866,2024
hsy6urcpwzj3,25.76,340872,31550.2,338078387,1961
xcrufix45v3f,47.33,1133375,149955.8,372164228,4375
wpicku03fo9m,24.83,341883,35903.2,303531234,1972
3qqyfkf7gl0q,24.44,584747,29106.88,310462231,1937
70vnj3hsb6yb,23.37,390208,32639.49,314534380,2641
lzs3tpytaxft,38.07,965152,152359.67,327582007,2695
a18de3pcr2kl,33.6,600689,31370.09,300031273,1729
3gm4chjkp59d,50.91,374279,279826.17,307333569,2665
u888sz04cbvb,35.07,794910,30390.76,291668941,2035
tg3ct6093qb7,136.45,3383412,19696.66,291707343,1535
yjo915e8wwtr,17.81,193041,34175.35,288676441,1729
knoj3mpnbmaj,40.9,1969855,19833.06,255106901,1189
pqgkxo1nicav,33.95,703207,85352.11,260518628,1562
j9nqho75dg5g,34.47,1041720,131618.96,269100270,3123
4yrn48as3zfb,135.44,3337650,21486.95,248576442,1247
1n7t8823hjtd,33.46,747118,240802.3,250707106,47614
0a4j39bdapty,116.61,2484829,21441.02,242466765,1013
jwsaqj967kkw,139.99,3542362,24201.85,246866718,1233
4xyomu3c6s8b,71.49,388350,184087.66,243615527,2967
epw82116eh17,21.84,299183,202157.32,245875596,4160
hqw0ccsu9bd7,37.4,881756,198162.74,233977857,2045
unw8thvvkxwh,37.92,186429,225294.78,232858261,1832
wo63q8c26knx,75.43,900086,99700.47,231604695,2421
3m5gunt23oke,67.38,690332,174732.58,235176586,3576
5j7x6meatxyh,139.1,1550580,121638.26,230704292,2800
fwtyv5qh8saz,14.51,113185,144677.3,237688762,7340
ej4tpa0l6ajb,121.79,2718328,19885.86,229105025,1077
xabr0vaq3n5b,128.13,3006400,24394.67,225227799,987
ydrap2oum6vz,117.18,2509939,20839.89,226665865,931
jwjrrlez77ly,27.27,601056,228741.57,224954530,4610
k2rdhosk79dl,125.16,2871115,20457.66,228945212,1041
dilmhyryigdy,46.01,126534,288629.36,224252655,2441
rvrmzoqf5a2v,28.71,462587,138080.19,228200636,3318
opo2js9ihp50,43.98,1763676,44637.66,223505438,1948
9wfkok8lxc2w,61.42,559722,221408.33,228859863,1801
7m53cun9kixa,64.01,614159,91142.63,218961043,1407
v8u5jd7u6k1l,88.59,1323744,36454.25,209124697,1038
tvkgjtpm50u1,38.3,715059,152439.6,207931757,3720
3mwr1ywhuhm1,39.93,1403453,34123.36,205891305,1844
c5ncz8ltfyw2,37.44,1139079,39715.25,203649905,1436
w4mik49a2p95,28.71,503614,103381.79,196639404,3749
ev46pllkvy6p,65.32,1231628,168230.33,199471630,6044
