username,payout,points,total_payout,total_points,total_wus,created_at
zznkv6xpbh28,9.91,7641,925.92,713239,118,2021-05-26T16:34:24.28Z
zzw88jwyyzzk,25.15,167961,1381.93,9449464,558,2021-07-08T17:57:08.783Z
zzocr0figgxr,36.25,250381,2778.9,20968333,260,2021-06-27T07:31:43.470Z
zzwvtryzltcr,43.96,153048,12117.0,127896938,1317,2021-04-18T23:31:21.811Z
zywzewm7w2ze,16.12,90238,2107.6,7028925,451,2021-04-27T20:29:11.251Z
zz7h9zzjss84,48.74,187702,5058.93,28820141,147,2021-04-24T18:10:24.500Z
zywhpi9dit4p,13.49,31317,758.82,2000463,110,2021-07-05T15:42:19.495Z
zz7xblz5vh75,19.62,160150,1423.08,10850753,57,2021-06-15T03:08:24.875Z
zzj7fmzx6fbd,32.83,327939,1653.9,13221171,64,2021-06-18T02:29:42.8Z
zz37y9eetszr,61.5,414763,6404.39,88243213,467,2021-04-29T01:46:21.122Z
zxvtp9h7bs1v,15.23,56645,1236.71,3164095,160,2021-05-07T09:15:34.395Z
zy7aovj18kfe,9.65,5780,989.3,219337,113,2020-01-28T23:19:12.205Z
zxjbs6ukzphb,4.78,5470,808.42,2711183,141,2021-02-15T07:11:05.680Z
zxrlilz6xrj8,46.31,432880,7521.04,71523852,601,2021-04-20T00:50:21.375Z
zx8vr0pnlejw,12.55,42800,3799.42,25892402,685,2021-06-07T04:08:33.802Z
zygq34v9tv10,12.34,10838,1605.87,2628442,411,2021-05-15T19:36:27.387Z
zyogvakst4yg,13.52,124298,3181.57,13732466,468,2021-04-20T20:14:13.85Z
zx7rqklr7udl,9.83,9465,1303.13,2594390,175,2021-05-07T01:24:51.445Z
zx678fhm54hi,39.18,135218,9817.62,34615379,2047,2021-03-14T02:15:13.543Z
zy1h3liskhwc,23.89,120773,7476.4,53016642,813,2021-05-02T16:39:19.542Z
zvbcy5s1kpvc,46.33,249488,4566.42,29314664,370,2021-06-07T15:02:30.423Z
zvbsnbn58w28,9.94,3990,529.86,216880,106,2021-05-18T18:01:23.346Z
zvvxd93jrvmn,37.05,262574,1774.33,12848623,148,2021-07-01T06:00:24.598Z
zwoabh5u1qyj,38.55,144272,1826.29,6868546,118,2021-05-09T02:54:13.152Z
zuug2ez19p0r,25.16,208465,1608.36,13926734,59,2021-06-12T01:27:38.508Z
zutvnjhbgmer,41.64,338756,3114.66,22548142,268,2021-06-17T23:40:05.53Z
zwi0kddqankb,25.35,120664,4012.47,20490198,406,2021-04-19T10:46:17.809Z
zvhe885vzhmg,40.2,312959,677.17,4822994,47,2021-07-21T15:55:20.779Z
zuvj075autgb,10.29,21924,2198.35,10744965,217,2021-05-20T23:27:51.483Z
zvfj9fj2pils,4.77,36423,4899.64,23587669,850,2021-03-14T00:45:04.778Z
zuo7rmu3bt1v,22.53,208822,1612.83,13700034,60,2021-06-15T02:06:38.889Z
zti5i2spekxd,43.75,379316,219.41,1256779,12,2021-07-10T20:33:09.548Z
ztdfc192304s,62.95,466698,21502.77,146486752,1453,2021-03-09T17:33:15.951Z
zu9byvltluk1,9.73,7073,3297.18,5671589,325,2021-03-08T13:49:31.174Z
zugd60dh8hfk,9.91,11886,4914.11,4190943,446,2020-11-04T05:07:47.254Z
zu9b94t1jznz,9.89,39700,45.59,177510,5,2021-07-26T19:49:27.783Z
ztqtp2u06v5i,13.43,46632,1042.98,2778735,241,2021-06-08T08:58:07.387Z
ztmlhktx2pxv,14.27,50291,1327.77,4517605,133,2021-06-06T11:03:02.301Z
zt1yajaxbgce,32.85,205243,417.46,2407738,25,2021-07-16T14:22:26.977Z
zsnl4mu0s6ci,39.2,126524,4508.86,26377930,147,2021-05-20T15:10:37.578Z
zs67ib7h3bon,9.77,11707,855.62,1759586,128,2021-06-04T05:18:12.209Z
zr7swvvsyut4,35.32,236862,2692.59,19724238,257,2021-06-27T07:27:34.761Z
zrjznqycqswv,55.92,1008111,10540.91,157839299,1038,2021-05-13T10:10:27.852Z
zs704nargz31,87.04,1124431,19060.21,178428660,2133,2021-03-09T13:01:10.611Z
zr43t1c7t6j9,42.13,347610,2493.63,18921603,230,2021-06-28T10:28:19.295Z
zsf0vzrfmqlo,30.05,172933,212.77,1261696,19,2021-06-20T16:33:03.914Z
zrswz6b1b1g1,71.95,436055,3217.17,20347431,275,2021-06-17T02:46:47.499Z
zrh3e31l8hbl,60.5,356131,5037.74,32357352,386,2021-06-04T02:34:31.442Z
zsat3l1clonf,7.21,48540,166884.27,88213176,4021,2019-04-14T21:13:48.67Z
zqvv0hik1zxj,30.05,172933,161.61,713829,11,2021-07-10T20:10:59.289Z
zpkgfrn21gp8,26.6,277154,1653.56,12645140,75,2021-06-15T03:05:35.489Z
zobkz7s63azn,10.91,166982,13923.78,13177720,544,2019-07-14T03:20:05.432Z
znjs4dp9e4vm,9.86,8980,1389.81,3456779,177,2021-05-12T19:26:47.177Z
zoe5g2sa7vsk,9.85,5940,244.56,147416,34,2021-06-22T19:08:20.872Z
znjuzb4uy2v8,22.95,204455,1357.92,11032484,61,2021-06-12T00:41:01.853Z
zoes7qjmf2wz,49.12,338587,8558.32,108077675,716,2021-05-21T04:13:04.508Z
znkh7l04k3yy,60.65,383496,4373.6,28631133,358,2021-06-04T02:39:48.911Z
zqkluz8lb5d2,50.74,623730,9722.58,120098962,646,2021-04-20T10:38:31.258Z
zoe9i8wmmxg7,44.67,398623,7968.39,47890778,211,2021-04-19T13:31:51.275Z
zniqd147a267,13.84,6378,1251.92,2643899,132,2021-05-07T18:22:07.82Z
zmmhcer3bclp,12.96,44588,2680.29,21970452,348,2021-05-11T03:32:49.824Z
zmg05cpliaob,10.73,12912,1743.01,4777013,399,2021-03-04T16:51:54.525Z
zncvvgadqdjf,50.15,272588,4583.16,29436954,361,2021-06-04T02:34:21.332Z
zndju9el7xr2,97.44,1639535,18198.93,335636088,2283,2021-04-24T04:24:33.793Z
zmg99isfipib,49.58,513316,25577.74,136916835,1144,2021-02-18T11:58:28.22Z
zn9jl54cfrv1,45.94,425103,2538.08,18177412,241,2021-06-17T02:48:43.943Z
zm2drgu8t7id,37.3,266433,2411.72,17985414,215,2021-06-28T10:29:30.493Z
znbznb8k858l,37.46,1951045,23239.15,373857111,2478,2021-02-03T09:35:32.510Z
zneevolqriwn,32.63,206614,8456.36,45830477,408,2020-02-12T17:34:26.335Z
zm62l621q7du,32.14,196134,6866.26,41110383,561,2021-04-19T00:57:20.185Z
zlw4j5z3x5ai,13.27,6455,415.72,159311,47,2021-05-20T18:47:59.60Z
zm0se7xmji6v,9.52,21472,322.98,505247,39,2021-05-09T16:23:58.30Z
zkxhu6v76o7q,12.11,9843,8998.68,96508674,790,2021-05-08T10:43:33.298Z
zh4fpdkaqhyl,6.82,6423,577.12,371331,73,2021-06-05T10:14:47.67Z
zkrwbodiz7h5,85.91,783127,4954.7,44294008,489,2021-05-06T19:22:15.135Z
ziyqp7gg32qe,41.07,191865,4034.4,25503105,320,2021-06-16T04:41:34.988Z
zlsv3oy8ygdd,50.85,239991,4808.36,30219246,383,2021-06-04T02:37:18.640Z
