username,payout,points,total_payout,total_points,total_wus,created_at
evvucytfx24j,2.58,4040,1115.02,992942,180,2021-04-27T08:08:51.711Z
evqx30ajh07k,85.24,1895388,38475.74,581754853,3102,2021-03-10T18:05:30.181Z
ev7wclnod2pe,21.43,176307,7683.03,37616394,899,2021-04-03T03:34:54.156Z
et4lxyms6dep,46.37,592843,2594.43,30289246,176,2021-07-18T04:42:53.888Z
evqnyfbgxcmd,2.66,7320,928.03,583217,116,2021-05-16T15:31:44.165Z
euy27jbilz1f,41.97,250304,6549.55,40366211,500,2021-06-16T04:43:40.434Z
et8v1adtktdi,28.65,147493,5488.61,29304698,453,2021-06-02T15:08:35.298Z
ev3hu0f2lpbf,6.42,24133,1698.97,3166725,213,2021-05-08T08:05:13.896Z
esi1y1yikm8a,30.97,300508,1070.0,8570338,101,2021-07-06T03:01:59.756Z
etlkcw0yp4wg,10.28,118505,104364.61,107306066,6682,2019-04-12T19:55:01.372Z
esvln4ta5pg4,2.18,29687,8087.3,17375340,543,2021-02-16T19:25:24.362Z
ev46pllkvy6p,39.4,1422163,178589.03,552695705,8655,2020-05-05T23:03:42.312Z
eratkscfemu6,2.58,5780,222.4,74332,37,2021-05-08T20:12:22.337Z
ertjhwd6rjn2,2.62,10356,332.74,291401,62,2021-06-17T21:37:33.234Z
esb286jc0ipd,2.6,5812,285.62,255076,47,2021-07-19T16:16:51.889Z
erqalqakwgmy,2.6,3310,264.72,950228,43,2021-07-01T09:36:23.187Z
eqhueop0t895,34.4,354397,3625.22,30032785,356,2021-06-28T10:22:49.715Z
eqew4fsvtn07,3.15,19135,17.06,97438,14,2021-08-23T14:05:44.808Z
erryr7d04r70,4.1,9198,1317.69,932854,165,2021-05-07T03:07:08.454Z
eppt7vcca1ey,20.99,170827,3052.72,25169264,299,2021-07-01T06:02:21.734Z
eq2x97wtjtqp,27.25,247871,8746.9,67963308,488,2021-05-03T14:19:44.349Z
epw82116eh17,23.89,451676,207173.59,309438619,4714,2019-12-05T03:24:30.354Z
eppjp7s52ije,4.35,12162,929.72,1296943,146,2021-06-10T01:26:26.991Z
eo1nz1vi7wq9,37.25,403086,2667.12,20909200,251,2021-06-27T02:11:16.136Z
eof2lnd7y4m0,2.69,4211,592.74,600673,81,2021-05-28T22:46:32.900Z
enx57ya9tunq,4.03,14518,2636.04,3550909,259,2021-03-19T00:35:35.211Z
eno6ng00vp6p,34.82,190068,9064.3,55395320,479,2021-05-04T03:55:35.26Z
eo0mfr4woxhd,68.76,651333,9780.91,88930165,519,2021-05-20T05:40:42.295Z
ep02mqxh9tzu,13.36,169608,5943.24,25438229,644,2021-04-04T03:39:07.448Z
eonvxa0faf6e,55.12,829219,14415.73,95746535,778,2021-02-18T11:39:27.917Z
