username,payout,points,total_payout,total_points,total_wus,created_at
zygzh5nmiubo,28.69,289074,2563.6,20645468,263,2021-06-27T02:12:40.735Z
zy1h3liskhwc,28.49,319625,9481.99,72012153,1088,2021-05-02T16:39:19.542Z
zzocr0figgxr,24.3,225877,4341.43,35523826,416,2021-06-27T07:31:43.470Z
zx7rqklr7udl,2.63,9865,1555.23,3552431,239,2021-05-07T01:24:51.445Z
zyvc2nodo068,4.01,26175,3697.79,25799496,151,2021-05-16T03:47:33.431Z
zywzewm7w2ze,2.23,23085,2519.4,10389818,639,2021-04-27T20:29:11.251Z
zz37y9eetszr,89.61,1114629,10964.92,136789489,685,2021-04-29T01:46:21.122Z
zx678fhm54hi,14.57,59455,11231.19,40630340,2150,2021-03-14T02:15:13.543Z
zzw88jwyyzzk,32.01,711278,3437.6,51751971,1746,2021-07-08T17:57:08.783Z
zz4wz65z2t99,35.87,412641,8144.13,53834182,636,2021-04-12T16:59:51.926Z
zvw98npe0vjn,2.62,10369,1085.39,3085202,53,2021-03-13T10:46:48.345Z
zvhe885vzhmg,8.9,62762,2284.59,18624830,181,2021-07-21T15:55:20.779Z
zvvxd93jrvmn,26.44,255652,3337.63,27316677,317,2021-07-01T06:00:24.598Z
zwxeh9vufha6,4.34,28547,137.3,453902,47,2021-08-01T08:21:22.16Z
zx2goaar52cx,29.34,299339,5025.47,34370249,346,2021-05-16T18:49:22.145Z
zvcbqsz5959t,6.76,46247,5772.41,38369557,617,2021-05-12T22:28:39.865Z
zvd6suegb6e5,23.94,220335,5704.86,56273017,209,2021-05-18T01:23:02.683Z
zuvj075autgb,3.41,21874,2496.5,11909541,279,2021-05-20T23:27:51.483Z
zutvnjhbgmer,2.77,17673,4704.9,36529469,427,2021-06-17T23:40:05.53Z
zugd60dh8hfk,2.66,9485,5247.12,5678975,522,2020-11-04T05:07:47.254Z
zt1yajaxbgce,21.55,190917,1783.98,15320375,80,2021-07-16T14:22:26.977Z
zsqqyha53gtr,2.65,8983,52.68,177487,28,2021-08-17T01:47:11.354Z
zu9byvltluk1,12.88,97785,3586.46,6920713,373,2021-03-08T13:49:31.174Z
ztdfc192304s,53.76,323733,25520.13,176504635,1713,2021-03-09T17:33:15.951Z
zt71u5pip8o6,20.86,182499,5690.86,28144554,543,2021-04-28T03:37:17.191Z
zs704nargz31,6.9,25422,21737.07,205279344,2445,2021-03-09T13:01:10.611Z
ztqtp2u06v5i,7.98,55697,1755.3,6909680,452,2021-06-08T08:58:07.387Z
zs602gmaxj09,4.39,3310,797.27,1195372,116,2021-06-18T22:12:32.444Z
zs67ib7h3bon,2.96,18905,1099.25,2635766,204,2021-06-04T05:18:12.209Z
zsat3l1clonf,3.5,38993,167138.26,90634890,4130,2019-04-14T21:13:48.67Z
zo6vai1k8z5z,2.66,6276,384.08,615488,58,2021-03-10T15:55:51.284Z
zoyp8i4yyhy7,22.01,101461,4240.12,14931555,515,2021-04-30T14:19:41.560Z
zp2jrib36uob,13.95,61825,3597.58,15765196,307,2021-05-13T15:13:19.738Z
zr43t1c7t6j9,25.12,237250,4376.63,36231474,436,2021-06-28T10:28:19.295Z
zrjznqycqswv,41.68,938670,13204.97,211811399,1372,2021-05-13T10:10:27.852Z
zqkluz8lb5d2,59.74,1074539,12638.77,164260959,876,2021-04-20T10:38:31.258Z
zqd4uo1f0wda,4.27,7179,1339.03,2924474,243,2021-06-17T12:53:39.770Z
zr7swvvsyut4,28.7,289246,4488.44,36055958,443,2021-06-27T07:27:34.761Z
znvouymtuvm6,2.58,8729,13596.92,3184445,836,2019-07-03T03:47:52.741Z
zneevolqriwn,24.94,256889,10137.0,62581977,528,2020-02-12T17:34:26.335Z
zmmhcer3bclp,3.76,24404,3190.87,24686223,473,2021-05-11T03:32:49.824Z
zm0se7xmji6v,2.58,13280,471.19,926053,69,2021-05-09T16:23:58.30Z
zm2drgu8t7id,29.96,309030,4244.88,34756993,397,2021-06-28T10:29:30.493Z
zn9jl54cfrv1,36.33,421907,4406.64,35286818,434,2021-06-17T02:48:43.943Z
znbznb8k858l,32.4,1532533,24906.0,458065241,2929,2021-02-03T09:35:32.510Z
zlngtf5j4atp,2.8,17849,1045.47,2185931,160,2021-05-15T14:42:25.387Z
zndju9el7xr2,95.6,1838583,23107.34,421833296,2880,2021-04-24T04:24:33.793Z
zlndso2soihp,2.61,4075,135.66,125554,24,2021-06-27T00:28:25.227Z
zmg99isfipib,46.78,663968,28390.41,173868539,1345,2021-02-18T11:58:28.22Z
zl79hpt4rkyk,69.42,1559814,24636.31,330178928,2415,2021-03-17T20:36:34.549Z
zl4zgnhe4vqp,2.64,12247,827.12,2920846,124,2021-05-16T17:02:21.857Z
ziyqp7gg32qe,49.82,321493,6812.22,41820661,520,2021-06-16T04:41:34.988Z
zkrwbodiz7h5,25.57,135774,8000.72,64263601,633,2021-05-06T19:22:15.135Z
ziz0x96wkeh6,24.55,113670,15194.95,100354725,748,2021-02-19T07:39:09.95Z
zhv9f1995nji,2.56,17966,2591.33,11885051,422,2021-05-17T18:24:22.3Z
zgyq9h1nwfau,2.63,15904,2571.81,4881758,400,2021-01-19T22:41:22.625Z
zgwyt89bkpvg,46.19,280800,6150.1,51738483,423,2021-03-23T18:34:53.641Z
zhuvrt7r7jmy,37.28,295907,67651.25,108754644,2877,2020-03-31T23:05:11.61Z
zg58ldxeyfik,4.54,19206,2009.15,3129056,477,2021-05-13T04:38:48.950Z
zhpor3vjn6b1,70.85,1639798,24417.15,272539757,1377,2021-03-18T17:25:09.938Z
zdzzfomzdomx,4.66,30750,1767.05,19290848,180,2021-07-23T02:46:10.136Z
zf6q7tl9jf6t,1.67,6715,356.55,201658,75,2021-05-28T14:54:32.30Z
ze3r765bxkyn,4.07,4031,551.83,317714,88,2021-03-10T18:48:58.992Z
ze67ygf0ts1q,18.28,152778,3242.81,17167583,339,2021-03-10T03:50:16.925Z
zep9bvsx0v1n,30.85,323061,2581.66,20632699,269,2021-06-27T02:11:12.94Z
ze9tnl0nks84,1.47,9211,1173.81,1621934,223,2021-04-12T11:15:23.233Z
zedndrjuxdia,23.85,219213,4182.47,33956312,409,2021-06-27T07:28:41.128Z
ze1qm7rm0c3p,8.95,63190,8169.25,55663767,394,2021-04-12T12:43:54.857Z
zdz2ax3x2wbk,2.58,6410,2981.43,7360807,504,2021-04-08T11:03:11.746Z
zdrzpdn3foq9,55.77,1133681,10108.43,164957153,726,2021-05-17T22:06:03.686Z
zcsg1sjk4r6s,32.41,349704,314.47,3071977,37,2021-07-06T03:07:02.638Z
zcfnysw8463o,37.03,435877,2143.51,16826676,213,2021-06-27T02:13:32.107Z
zd0fg5w5ldk6,26.58,257613,3812.52,31782053,373,2021-06-23T14:58:56.982Z
zcirypzw461v,29.97,309145,4469.42,36863991,439,2021-06-27T15:01:57.965Z
zdf9tta1f3ns,81.89,891832,11752.66,117663552,587,2021-05-16T08:07:26.622Z
zcjpcoxcby4c,23.19,211125,3622.95,29103227,121,2021-05-18T01:21:38.906Z
zcdt3vt8lo21,25.94,248730,4384.52,35362017,426,2021-06-23T14:57:27.240Z
zc672eraszr2,5.17,50258,2217.31,13232659,432,2021-06-05T05:05:20.922Z
zc39ce13ot47,17.62,145580,7905.86,50240975,206,2021-04-04T05:12:53.252Z
zbvco5f1r0ho,97.54,944541,20032.73,120936493,852,2021-02-22T21:21:34.763Z
zb64w02ulcb4,9.46,67770,1911.09,10021873,193,2021-05-13T15:59:50.10Z
zb6f0psxyend,2.64,5610,2148.61,2499953,428,2021-03-20T08:32:08.384Z
zbpj58el40tt,4.54,19482,11960.81,146006958,1427,2021-04-17T06:13:20.385Z
zbbwvb4v32ab,37.3,441132,15757.19,216901682,1276,2021-04-25T03:51:50.889Z
zam0gilu3jbg,55.74,324890,7253.9,54423432,332,2021-07-02T01:16:08.519Z
zawybt6yqncd,41.26,526102,5932.0,43035747,165,2021-04-10T14:44:20.507Z
zb9l7g160ipd,6.23,42170,21.02,158431,7,2021-08-23T15:13:27.502Z
za2kxbp11f1k,36.34,422033,1246.06,10444167,110,2021-07-06T03:02:09.351Z
zandhxi9qcej,32.8,356645,8993.36,50563819,1611,2021-04-03T00:07:35.457Z
zahin334nzmr,1.73,21280,2489.47,5298390,390,2021-02-15T18:55:23.288Z
z9a8677gb9zh,33.21,363766,345.78,3428913,42,2021-07-06T03:06:01.575Z
z95ise1o06d8,29.25,297879,4056.3,32833506,390,2021-06-27T07:25:09.781Z
z9x4tmtieuy0,16.5,133469,1145.7,6775288,238,2021-07-21T17:23:47.317Z
z8c3mmjszivi,29.01,294063,3107.84,25264375,333,2021-06-22T09:57:47.291Z
z99cd8gqe1lr,2.57,4940,44.35,84900,27,2021-08-17T21:40:27.922Z
z9jqyyzw1qtq,4.46,14518,21582.42,199476100,1459,2021-03-16T21:02:58.757Z
z8t9j29eyuog,5.26,34965,3189.93,11383910,557,2021-05-07T16:24:37.28Z
z9toqop3r08t,100.48,763181,146853.83,328878119,2489,2019-04-12T14:25:41.510Z
z888fuy9j2z8,13.31,101977,4005.95,27158567,325,2021-05-19T00:09:41.211Z
z82y5icnn4wg,3.14,39700,35604.17,63323568,2466,2019-05-21T23:55:26.110Z
z7x15trz7h06,9.71,69898,1049.68,5534804,193,2021-05-08T08:10:41.442Z
z81enhktdwei,1.85,5427,350.34,227063,64,2021-05-28T14:53:45.680Z
z6ktzowpyplz,30.69,587557,9866.53,122189192,1143,2021-04-27T01:11:30.98Z
z6ow793svax0,6.14,21983,4009.97,11504446,437,2021-02-24T17:19:37.844Z
z6xf9b7i0vkq,3.3,11768,1949.33,2774894,446,2021-05-03T09:39:19.734Z
z50ds7fr5qok,4.63,4940,342.54,299027,51,2021-02-27T23:58:35.623Z
z5j7qeqcmgli,21.43,189405,7411.57,36965325,883,2021-04-03T03:17:11.926Z
z605n1d3k3dy,39.69,366384,19441.39,149116620,1511,2021-03-26T12:36:10.696Z
z7x2gjzaqnic,52.66,760464,12770.53,157983777,858,2021-05-11T15:02:16.254Z
z4zq2o3kkhwp,33.17,486617,5311.14,57511470,370,2021-06-06T16:14:33.31Z
z26qj2fogy3k,28.65,288495,4348.3,35588914,438,2021-06-27T14:56:47.5Z
z2e008p09llq,4.21,3310,1685.02,1274624,306,2021-04-28T19:15:00.301Z
z440atmwg7uy,26.33,389181,4750.32,39989040,448,2021-05-10T23:02:26.589Z
z4imvneiqb1d,2.6,8368,1374.91,1483096,238,2021-05-18T17:57:58.800Z
z4dtc2id8vy6,4.59,19707,2602.89,18594563,290,2021-05-18T16:19:25.927Z
z2h1ybiynet4,61.2,432576,8373.73,55548706,232,2021-05-16T18:23:49.53Z
z4mscqi7xfty,4.64,11481,8752.88,45933929,542,2021-02-24T20:44:02.320Z
z1tz88kscb4d,2.68,7388,5954.03,30121851,331,2021-04-25T22:57:11.710Z
z1m91m80o3xb,50.39,767778,8987.79,91980239,1457,2021-05-27T02:54:35.830Z
z15fgb666d1j,25.74,245832,380.18,3886259,46,2021-07-06T03:03:38.865Z
z09u0zjzyzqt,25.88,247889,2638.47,20611779,266,2021-06-27T02:13:53.941Z
yzi4ytq5t87k,72.27,1058659,11929.4,270711692,1088,2021-05-20T20:49:00.786Z
z0dxt3elftqe,4.92,19786,1736.8,3102062,411,2021-05-22T21:38:51.979Z
yzqxzkl0ip8m,17.3,96273,4317.33,19688484,515,2021-05-16T11:54:26.655Z
yzwokle6hg7d,23.76,218151,7740.7,38909246,913,2021-04-03T03:35:02.125Z
z0j48zx185na,33.35,366341,4265.36,34327574,451,2021-06-11T09:15:00.477Z
z0bappmk3j5z,3.01,19206,1065.45,3067813,465,2021-06-23T14:07:44.113Z
yzg9tygzrvn3,7.88,54911,4645.46,11614089,566,2021-03-19T14:22:48.291Z
yyzaoe70b5rj,4.71,7410,995.64,746224,131,2021-04-23T11:33:33.820Z
yyy5v4rkgc65,2.81,17957,2411.91,2667689,334,2021-03-15T16:23:34.270Z
yw4f1qtux9q2,32.08,343897,2508.63,19667631,231,2021-06-27T02:18:06.413Z
yw4n5d7c40gj,2.6,3310,66.44,153974,38,2021-07-30T17:06:35.524Z
ywzh2fkjq2wa,25.66,244721,1152.82,10862221,145,2021-07-06T03:02:47.682Z
yxxoyrwl7hh1,4.56,30044,1722.71,3931532,610,2021-05-22T17:52:44.374Z
yvqdzn2aff7t,5.37,35727,6913.26,22974547,530,2021-02-26T21:44:47.9Z
yw5uw2im99og,21.89,195171,4806.76,28474967,439,2021-05-16T02:40:15.475Z
yvgncq0victl,16.92,137976,805.34,6693468,198,2021-08-10T10:27:27.754Z
yvptf4mdpusg,15.93,209780,4018.71,90507770,569,2021-07-20T02:31:01.850Z
yxpnsqax3eh5,12.0,89520,9029.76,57238441,1286,2021-04-20T14:09:31.521Z
yy3jb335kjrc,33.41,176451,16735.76,123313523,1722,2021-02-26T10:49:34.938Z
ytpjsbx6pnyv,2.7,5738,146.33,205782,40,2021-07-31T12:17:26.891Z
yul0tmjmsnsb,2.66,8116,823.08,1588315,112,2021-05-15T06:34:02.630Z
yuf79shi9pks,2.6,8368,89.64,101245,17,2021-06-23T05:32:53.399Z
yvfjc0a6ohht,4.22,8368,1213.46,2785891,144,2021-05-06T02:03:55.116Z
yu81i6a54dky,40.92,518422,11284.86,228016554,1296,2021-06-01T23:59:46.602Z
ysjsoqoj36am,17.86,269970,7502.56,39335551,900,2021-04-03T03:34:28.31Z
yuh204jepvr5,30.81,251088,19491.5,121077046,962,2021-03-09T11:39:11.825Z
ytmsj1ybsvbd,40.84,259175,6711.54,41154017,508,2021-06-17T02:46:22.39Z
ytq8bzhxjq6u,1.52,14755,18583.64,60269919,2176,2020-12-07T01:09:42.611Z
ytl8szo7vd5s,30.59,318918,4683.88,38189954,436,2021-06-23T14:54:39.718Z
yrmjr12055eg,36.92,433639,3567.09,28939232,356,2021-06-22T09:55:48.219Z
yrs5vzp97svb,25.8,491052,4252.4,72491467,2123,2021-07-03T20:56:44.622Z
yrb44dgf59jc,2.65,10496,1266.7,1453006,192,2021-05-06T01:44:54.841Z
yqfnz4v126nm,2.13,19715,1008.12,2405114,261,2021-04-16T15:41:51.201Z
yqohlzbaiudf,53.58,405066,9847.37,74241461,774,2021-05-13T20:08:15.741Z
yqfcop00fpa2,30.22,313159,4119.45,33756467,429,2021-06-17T02:50:20.408Z
yrhqc2z3e0os,4.93,32681,2392.31,7244457,910,2021-05-07T02:59:17.111Z
yptei8o7vuwl,4.22,5574,617.73,238399,69,2021-05-07T04:26:42.686Z
ys3i1ojoekyw,73.11,737570,16916.85,167663870,863,2021-04-22T04:21:35.939Z
yr8c6nfi5mkx,44.78,260807,6853.55,41669873,524,2021-06-16T04:41:26.811Z
ypbwifora5lb,3.48,22317,1778.91,4458966,250,2021-05-02T20:11:03.239Z
ynxvdijmns76,21.99,196408,2429.33,12356630,285,2021-05-14T12:58:33.71Z
ynq23l1lhf7y,4.13,27045,5001.97,33141417,213,2021-04-30T16:02:58.881Z
ynykdfdqpynz,2.58,14047,1423.63,3519821,276,2021-05-14T17:13:27.203Z
yn4l6itt8x4y,37.31,441301,9952.14,90141668,1883,2021-05-05T12:18:54.33Z
yoiakqpgm3up,5.55,37041,1497.8,4516478,246,2021-04-20T00:01:53.330Z
ypfdksjr27am,2.79,17807,1936.68,2728947,254,2021-03-22T21:52:07.23Z
ymp7bcmxen8u,25.65,244656,4224.25,35260770,409,2021-06-28T10:25:02.721Z
ym1dg0e93p08,20.23,174720,4192.74,28067505,187,2021-05-14T01:49:48.750Z
yp6mycnb0px6,4.13,3883,38598.27,8098294,6343,2019-04-26T04:42:25.442Z
yi9giizfdulx,11.78,87662,177.49,667359,113,2021-07-10T14:31:52.436Z
yio178nfkkur,73.26,1784398,5463.95,125277372,730,2021-07-21T06:14:01.438Z
yiac4o5tdsl0,37.8,451103,309.14,3054841,37,2021-08-23T15:11:13.225Z
yiwqejfyqpfe,27.56,271193,327.1,3227606,39,2021-07-06T03:07:14.14Z
yj8qwuuv2ess,8.87,62521,7404.63,40397270,216,2021-04-04T05:03:57.317Z
ylmuf65e1gau,2.64,9918,1248.19,1493790,197,2021-04-27T09:17:06.758Z
yi6jd55r962r,3.76,17489,6091.05,14316384,971,2021-02-26T23:22:34.369Z
yh5a5imtnlla,17.88,148410,5154.25,42902010,1005,2021-05-13T23:47:56.804Z
yha5bjhizpcu,38.78,470663,6003.63,36821542,149,2021-03-25T13:55:03.735Z
yj09uiwa2skt,2.69,7415,10138.73,3222244,830,2020-04-27T18:46:56.969Z
ygepr37do2tm,5.38,22836,1817.63,4033864,252,2021-04-15T22:39:32.910Z
yg2ojdhhmk3j,37.28,440869,4532.18,37145001,439,2021-06-27T14:59:03.464Z
yfj6rp15qoqw,12.98,98805,11173.69,21132869,1116,2021-02-15T09:39:34.615Z
yfq1zdv3umpu,3.07,19597,8530.55,18204113,762,2021-02-12T23:15:59.297Z
yfm3xct9zenb,46.97,668993,4445.37,43039292,314,2021-04-27T19:07:24.263Z
yg213i5x1eju,78.28,635688,37865.58,314456071,2220,2021-02-21T15:20:36.809Z
yfi4q330mlgv,55.31,355329,6610.97,39662160,517,2021-06-16T04:41:59.791Z
yfblwtgv3c8k,29.03,294456,4637.74,45885037,288,2021-05-10T09:33:01.104Z
ygf81zw7knn3,42.03,214675,5934.25,34283746,449,2021-05-17T01:14:59.42Z
ygfhmnecmmg9,2.66,6970,6334.48,2369582,605,2020-05-04T10:15:36.160Z
ydwtt10mtymk,3.04,19414,565.11,1008602,75,2021-06-01T10:24:59.623Z
ycjihjwdndx3,2.59,5807,148.44,203850,38,2021-07-30T13:12:01.422Z
ye4f559rjpxu,9.05,63923,1480.87,6308093,272,2021-06-28T00:00:25.334Z
ydn48ddjfw9f,6.56,44749,3868.2,29805838,582,2021-06-17T15:37:44.506Z
ye92kdr5bx5k,22.35,394163,5076.02,38114393,288,2021-05-02T14:11:29.382Z
yci7guka9odi,29.88,681525,3900.39,52351781,1750,2021-07-08T17:57:44.525Z
ye2epss1hyc3,14.66,114930,4244.32,22244025,201,2021-04-20T00:55:25.622Z
ye8kvrpj2o6z,3.2,5780,13301.99,30315609,1213,2021-02-14T12:50:15.109Z
ydr6uakd7zzo,30.03,310170,3610.71,30308699,367,2021-06-27T07:27:06.938Z
ybw0w61asya0,25.41,241299,18903.46,107929942,1239,2021-03-13T22:06:18.545Z
ybkgpdb29htq,12.11,90507,1397.8,11331342,53,2021-07-15T02:26:26.487Z
yaib8x4a6iri,2.64,12267,622.31,1288882,75,2021-06-10T17:34:27.132Z
y90y7cdigkxq,23.46,214419,4141.38,33957105,404,2021-06-27T07:31:08.243Z
y9wmhl3kip3b,14.48,67770,1263.08,5672835,92,2021-05-18T20:30:49.357Z
yb0hesg62h1q,20.23,174649,3584.85,29581818,389,2021-06-27T07:27:39.73Z
y8tqkbi0fyb3,4.93,48447,15122.86,56116480,593,2021-02-12T12:12:54.236Z
y8innki787k8,14.84,116714,30709.37,89975601,969,2021-01-22T08:44:08.247Z
y9f4tt4l6lia,34.06,199649,17507.17,80399862,1116,2021-03-13T00:02:56.649Z
y8d9p0epnph0,23.19,211085,5180.42,63666640,236,2021-05-19T21:15:40.515Z
y8brr4bcf2vm,4.29,9020,1829.87,3150125,350,2021-05-20T19:13:29.850Z
y6rrz68j5vb0,2.64,7283,34.77,96400,19,2021-08-15T18:27:18.603Z
y6nyeqe2hfu4,3.14,20070,2512.36,15034940,234,2021-06-14T00:08:56.276Z
y6s27o4nb85y,2.58,5780,843.21,1578117,122,2021-05-01T04:41:49.358Z
y766tcx3uj1j,9.54,35252,2743.91,10203825,388,2021-07-05T07:16:54.22Z
y65pqt32ogo4,4.08,8368,2881.83,13194580,394,2021-05-17T16:41:48.138Z
y72ouho5ihv1,2.57,7440,1610.49,1966372,930,2021-04-18T21:46:34.809Z
y5soauyhfvlp,23.71,217522,3866.43,24175523,404,2021-05-17T14:57:45.972Z
y6bb7jfwug33,9.38,50686,2637.56,6990105,368,2021-02-12T17:33:00.914Z
y792kzkavf0o,15.13,119546,6450.03,36567653,464,2021-05-02T01:42:37.402Z
y5ymzwhgxjqz,35.95,213051,6253.22,37093618,466,2021-06-17T02:45:23.728Z
y3gneu1olqv9,26.86,527513,3181.76,43968193,1516,2021-07-11T06:23:23.983Z
y2w9u2e5kuy0,22.81,206502,8315.99,41301347,972,2021-04-03T03:33:28.243Z
y4siymj7f3c5,7.5,51978,848.35,3298444,212,2021-07-12T07:43:14.330Z
y580kdjhq2gv,2.75,19087,6969.27,17940210,345,2021-03-06T10:41:58.484Z
y51j5sseyolt,48.28,295252,6933.0,42503669,514,2021-06-11T09:12:57.646Z
y5dunpyfup6s,3.52,22536,2109.29,7255806,217,2021-05-06T20:27:21.44Z
y5keg37wserz,7.83,29086,1945.55,4978920,664,2021-06-03T07:16:03.859Z
y27ystp393rm,43.01,567138,1797.77,14420798,161,2021-07-06T03:01:22.220Z
y2f8veft3ypn,4.07,11372,3260.54,10668050,338,2021-03-15T14:18:51.212Z
y32vhvxt0uth,3.34,21372,2365.81,4127511,314,2021-03-12T10:29:08.749Z
y1ewam4pik3q,16.29,130642,2147.33,19005659,221,2021-07-01T06:03:41.115Z
y11wkack2c0v,2.57,4940,279.39,191705,151,2021-05-01T18:30:15.306Z
y10dg4rywx6x,30.17,312342,4161.36,33722111,413,2021-06-27T15:00:28.41Z
y0t2xumuiz23,3.73,24209,3305.35,17221205,477,2021-04-28T15:07:41.336Z
y24ehzkaguru,4.32,5123,1467.86,1700575,263,2021-04-21T01:44:40.156Z
xzacke4v1fa8,22.98,474483,3784.62,48212468,1735,2021-07-08T02:16:04.733Z
y1qmmpus8rer,3.86,25163,17839.47,12972288,1481,2020-06-08T01:56:31.1000Z
y1otxts7zwwc,37.45,181750,8020.46,54911129,603,2021-03-03T04:32:58.94Z
xzvz94v229yv,50.92,335251,6567.05,39853365,506,2021-06-17T02:44:34.251Z
y224fvy0lun6,1.5,17096,54085.07,11471646,3054,2019-05-06T20:19:18.115Z
xxprzw0gs7fm,26.1,250830,1765.96,13620799,58,2021-05-30T03:30:35.117Z
xx7cg5bur77v,50.98,785797,1000.6,14122515,77,2021-08-19T21:44:38.477Z
xxuzkt7xjxii,2.6,3310,778.79,396390,146,2021-05-22T07:03:54.329Z
xyib88qhrcoy,10.33,111960,3112.33,44409955,203,2021-06-20T23:39:44.41Z
xxhjy2ubrqvo,80.32,1549632,21688.43,396900999,1974,2021-04-27T16:09:55.152Z
xyj817nkc85h,3.23,5587,4112.13,17473285,520,2021-05-05T09:06:16.25Z
xwc4wxw6944m,25.72,245630,2691.99,22976728,264,2021-07-01T06:01:48.912Z
xz00c48gqlva,36.33,181217,3981.35,18508051,282,2021-06-28T16:03:20.990Z
xxjtc91cfkj5,3.75,8554,9023.64,4071528,867,2020-09-24T10:11:40.654Z
xwhp44j2xkm6,43.36,238525,6486.86,36156967,1214,2021-05-23T13:29:25.872Z
xuj87sq0u4cc,2.57,5194,331.18,342828,55,2021-06-17T14:26:31.475Z
xvp8fb7oe8ln,8.42,37705,2362.65,7477794,340,2021-06-19T00:35:01.98Z
xvwb94ivmeeq,45.92,259172,6692.83,40382661,510,2021-06-11T09:15:04.165Z
